order,set_key,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-06/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-06/ed-1/seq-1/","The Rice belt journal. April 06, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/lu_dust_ver01/data/sn88064402/00280762118/1917040601/0418.jpg","http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-06/ed-1/seq-1/thumbnail.jpg",6011,9372,"http://s3.amazonaws.com/ndnp-batches/lu_dust_ver01/data/sn88064402/00280762118/1917040601/0418.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-06/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-06/ed-1/seq-2/","The Rice belt journal. April 06, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/lu_dust_ver01/data/sn88064402/00280762118/1917040601/0419.jpg","http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-06/ed-1/seq-2/thumbnail.jpg",6010,9340,"http://s3.amazonaws.com/ndnp-batches/lu_dust_ver01/data/sn88064402/00280762118/1917040601/0419.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-06/ed-1/seq-3/","http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-06/ed-1/seq-3/","The Rice belt journal. April 06, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/lu_dust_ver01/data/sn88064402/00280762118/1917040601/0420.jpg","http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-06/ed-1/seq-3/thumbnail.jpg",6011,9351,"http://s3.amazonaws.com/ndnp-batches/lu_dust_ver01/data/sn88064402/00280762118/1917040601/0420.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-06/ed-1/seq-4/","http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-06/ed-1/seq-4/","The Rice belt journal. April 06, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/lu_dust_ver01/data/sn88064402/00280762118/1917040601/0421.jpg","http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-06/ed-1/seq-4/thumbnail.jpg",6011,9352,"http://s3.amazonaws.com/ndnp-batches/lu_dust_ver01/data/sn88064402/00280762118/1917040601/0421.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-13/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-13/ed-1/seq-1/","The Rice belt journal. April 13, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/lu_dust_ver01/data/sn88064402/00280762118/1917041301/0422.jpg","http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-13/ed-1/seq-1/thumbnail.jpg",6010,9351,"http://s3.amazonaws.com/ndnp-batches/lu_dust_ver01/data/sn88064402/00280762118/1917041301/0422.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-13/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-13/ed-1/seq-2/","The Rice belt journal. April 13, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/lu_dust_ver01/data/sn88064402/00280762118/1917041301/0423.jpg","http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-13/ed-1/seq-2/thumbnail.jpg",6011,9351,"http://s3.amazonaws.com/ndnp-batches/lu_dust_ver01/data/sn88064402/00280762118/1917041301/0423.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-13/ed-1/seq-3/","http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-13/ed-1/seq-3/","The Rice belt journal. April 13, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/lu_dust_ver01/data/sn88064402/00280762118/1917041301/0424.jpg","http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-13/ed-1/seq-3/thumbnail.jpg",6011,9350,"http://s3.amazonaws.com/ndnp-batches/lu_dust_ver01/data/sn88064402/00280762118/1917041301/0424.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-13/ed-1/seq-4/","http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-13/ed-1/seq-4/","The Rice belt journal. April 13, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/lu_dust_ver01/data/sn88064402/00280762118/1917041301/0425.jpg","http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-13/ed-1/seq-4/thumbnail.jpg",6011,9351,"http://s3.amazonaws.com/ndnp-batches/lu_dust_ver01/data/sn88064402/00280762118/1917041301/0425.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-20/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-20/ed-1/seq-1/","The Rice belt journal. April 20, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/lu_dust_ver01/data/sn88064402/00280762118/1917042001/0426.jpg","http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-20/ed-1/seq-1/thumbnail.jpg",6096,9361,"http://s3.amazonaws.com/ndnp-batches/lu_dust_ver01/data/sn88064402/00280762118/1917042001/0426.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-20/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-20/ed-1/seq-2/","The Rice belt journal. April 20, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/lu_dust_ver01/data/sn88064402/00280762118/1917042001/0427.jpg","http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-20/ed-1/seq-2/thumbnail.jpg",6010,9362,"http://s3.amazonaws.com/ndnp-batches/lu_dust_ver01/data/sn88064402/00280762118/1917042001/0427.xml"
11,"http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-20/ed-1/seq-3/","http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-20/ed-1/seq-3/","The Rice belt journal. April 20, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/lu_dust_ver01/data/sn88064402/00280762118/1917042001/0428.jpg","http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-20/ed-1/seq-3/thumbnail.jpg",6021,9361,"http://s3.amazonaws.com/ndnp-batches/lu_dust_ver01/data/sn88064402/00280762118/1917042001/0428.xml"
12,"http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-20/ed-1/seq-4/","http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-20/ed-1/seq-4/","The Rice belt journal. April 20, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/lu_dust_ver01/data/sn88064402/00280762118/1917042001/0429.jpg","http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-20/ed-1/seq-4/thumbnail.jpg",6020,9362,"http://s3.amazonaws.com/ndnp-batches/lu_dust_ver01/data/sn88064402/00280762118/1917042001/0429.xml"
13,"http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-27/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-27/ed-1/seq-1/","The Rice belt journal. April 27, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/lu_dust_ver01/data/sn88064402/00280762118/1917042701/0430.jpg","http://chroniclingamerica.loc.gov/lccn/sn88064402/1917-04-27/ed-1/seq-1/thumbnail.jpg",6106,9383,"http://s3.amazonaws.com/ndnp-batches/lu_dust_ver01/data/sn88064402/00280762118/1917042701/0430.xml"
