order,set_key,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn86076142/1918-05-11/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn86076142/1918-05-11/ed-1/seq-1/","Tonopah daily bonanza. May 11, 1918. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nvln_fallon_ver01/data/sn86076142/0041562704A/1918051101/0439.jpg","http://chroniclingamerica.loc.gov/lccn/sn86076142/1918-05-11/ed-1/seq-1/thumbnail.jpg",4456,6401,"http://s3.amazonaws.com/ndnp-batches/nvln_fallon_ver01/data/sn86076142/0041562704A/1918051101/0439.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn86076142/1918-05-11/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn86076142/1918-05-11/ed-1/seq-2/","Tonopah daily bonanza. May 11, 1918. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nvln_fallon_ver01/data/sn86076142/0041562704A/1918051101/0440.jpg","http://chroniclingamerica.loc.gov/lccn/sn86076142/1918-05-11/ed-1/seq-2/thumbnail.jpg",4480,6418,"http://s3.amazonaws.com/ndnp-batches/nvln_fallon_ver01/data/sn86076142/0041562704A/1918051101/0440.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn86076142/1918-05-11/ed-1/seq-3/","http://chroniclingamerica.loc.gov/lccn/sn86076142/1918-05-11/ed-1/seq-3/","Tonopah daily bonanza. May 11, 1918. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nvln_fallon_ver01/data/sn86076142/0041562704A/1918051101/0441.jpg","http://chroniclingamerica.loc.gov/lccn/sn86076142/1918-05-11/ed-1/seq-3/thumbnail.jpg",4512,6357,"http://s3.amazonaws.com/ndnp-batches/nvln_fallon_ver01/data/sn86076142/0041562704A/1918051101/0441.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn86076142/1918-05-11/ed-1/seq-4/","http://chroniclingamerica.loc.gov/lccn/sn86076142/1918-05-11/ed-1/seq-4/","Tonopah daily bonanza. May 11, 1918. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nvln_fallon_ver01/data/sn86076142/0041562704A/1918051101/0442.jpg","http://chroniclingamerica.loc.gov/lccn/sn86076142/1918-05-11/ed-1/seq-4/thumbnail.jpg",4488,6405,"http://s3.amazonaws.com/ndnp-batches/nvln_fallon_ver01/data/sn86076142/0041562704A/1918051101/0442.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn86076142/1917-04-06/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn86076142/1917-04-06/ed-1/seq-1/","Tonopah daily bonanza. April 06, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nvln_beatty_ver02/data/sn86076142/00415627038/1917040601/0326.jpg","http://chroniclingamerica.loc.gov/lccn/sn86076142/1917-04-06/ed-1/seq-1/thumbnail.jpg",4540,6430,"http://s3.amazonaws.com/ndnp-batches/nvln_beatty_ver02/data/sn86076142/00415627038/1917040601/0326.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn86076142/1917-04-06/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn86076142/1917-04-06/ed-1/seq-2/","Tonopah daily bonanza. April 06, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nvln_beatty_ver02/data/sn86076142/00415627038/1917040601/0327.jpg","http://chroniclingamerica.loc.gov/lccn/sn86076142/1917-04-06/ed-1/seq-2/thumbnail.jpg",4488,6471,"http://s3.amazonaws.com/ndnp-batches/nvln_beatty_ver02/data/sn86076142/00415627038/1917040601/0327.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn86076142/1917-04-06/ed-1/seq-3/","http://chroniclingamerica.loc.gov/lccn/sn86076142/1917-04-06/ed-1/seq-3/","Tonopah daily bonanza. April 06, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nvln_beatty_ver02/data/sn86076142/00415627038/1917040601/0328.jpg","http://chroniclingamerica.loc.gov/lccn/sn86076142/1917-04-06/ed-1/seq-3/thumbnail.jpg",4532,6447,"http://s3.amazonaws.com/ndnp-batches/nvln_beatty_ver02/data/sn86076142/00415627038/1917040601/0328.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn86076142/1917-04-06/ed-1/seq-4/","http://chroniclingamerica.loc.gov/lccn/sn86076142/1917-04-06/ed-1/seq-4/","Tonopah daily bonanza. April 06, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nvln_beatty_ver02/data/sn86076142/00415627038/1917040601/0329.jpg","http://chroniclingamerica.loc.gov/lccn/sn86076142/1917-04-06/ed-1/seq-4/thumbnail.jpg",4520,6419,"http://s3.amazonaws.com/ndnp-batches/nvln_beatty_ver02/data/sn86076142/00415627038/1917040601/0329.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn86076142/1917-04-07/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn86076142/1917-04-07/ed-1/seq-1/","Tonopah daily bonanza. April 07, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nvln_beatty_ver02/data/sn86076142/00415627038/1917040701/0330.jpg","http://chroniclingamerica.loc.gov/lccn/sn86076142/1917-04-07/ed-1/seq-1/thumbnail.jpg",4504,6462,"http://s3.amazonaws.com/ndnp-batches/nvln_beatty_ver02/data/sn86076142/00415627038/1917040701/0330.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn86076142/1917-04-07/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn86076142/1917-04-07/ed-1/seq-2/","Tonopah daily bonanza. April 07, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nvln_beatty_ver02/data/sn86076142/00415627038/1917040701/0331.jpg","http://chroniclingamerica.loc.gov/lccn/sn86076142/1917-04-07/ed-1/seq-2/thumbnail.jpg",4532,6443,"http://s3.amazonaws.com/ndnp-batches/nvln_beatty_ver02/data/sn86076142/00415627038/1917040701/0331.xml"
