order,set_key,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-1/","The West Virginian. April 06, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/wvu_pepper_ver01/data/sn86072054/00415660406/1917040601/0782.jpg","http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-1/thumbnail.jpg",4343,5780,"http://s3.amazonaws.com/ndnp-batches/wvu_pepper_ver01/data/sn86072054/00415660406/1917040601/0782.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-2/","The West Virginian. April 06, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/wvu_pepper_ver01/data/sn86072054/00415660406/1917040601/0783.jpg","http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-2/thumbnail.jpg",4323,5844,"http://s3.amazonaws.com/ndnp-batches/wvu_pepper_ver01/data/sn86072054/00415660406/1917040601/0783.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-3/","http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-3/","The West Virginian. April 06, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/wvu_pepper_ver01/data/sn86072054/00415660406/1917040601/0784.jpg","http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-3/thumbnail.jpg",4293,5850,"http://s3.amazonaws.com/ndnp-batches/wvu_pepper_ver01/data/sn86072054/00415660406/1917040601/0784.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-4/","http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-4/","The West Virginian. April 06, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/wvu_pepper_ver01/data/sn86072054/00415660406/1917040601/0785.jpg","http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-4/thumbnail.jpg",4253,5864,"http://s3.amazonaws.com/ndnp-batches/wvu_pepper_ver01/data/sn86072054/00415660406/1917040601/0785.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-5/","http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-5/","The West Virginian. April 06, 1917. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/wvu_pepper_ver01/data/sn86072054/00415660406/1917040601/0786.jpg","http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-5/thumbnail.jpg",4332,5818,"http://s3.amazonaws.com/ndnp-batches/wvu_pepper_ver01/data/sn86072054/00415660406/1917040601/0786.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-6/","http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-6/","The West Virginian. April 06, 1917. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/wvu_pepper_ver01/data/sn86072054/00415660406/1917040601/0787.jpg","http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-6/thumbnail.jpg",4274,5815,"http://s3.amazonaws.com/ndnp-batches/wvu_pepper_ver01/data/sn86072054/00415660406/1917040601/0787.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-7/","http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-7/","The West Virginian. April 06, 1917. Page 7",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/wvu_pepper_ver01/data/sn86072054/00415660406/1917040601/0788.jpg","http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-7/thumbnail.jpg",4320,5811,"http://s3.amazonaws.com/ndnp-batches/wvu_pepper_ver01/data/sn86072054/00415660406/1917040601/0788.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-8/","http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-8/","The West Virginian. April 06, 1917. Page 8",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/wvu_pepper_ver01/data/sn86072054/00415660406/1917040601/0789.jpg","http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-8/thumbnail.jpg",4282,5861,"http://s3.amazonaws.com/ndnp-batches/wvu_pepper_ver01/data/sn86072054/00415660406/1917040601/0789.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-9/","http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-9/","The West Virginian. April 06, 1917. Page 9",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/wvu_pepper_ver01/data/sn86072054/00415660406/1917040601/0790.jpg","http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-9/thumbnail.jpg",4281,5832,"http://s3.amazonaws.com/ndnp-batches/wvu_pepper_ver01/data/sn86072054/00415660406/1917040601/0790.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-10/","http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-10/","The West Virginian. April 06, 1917. Page 10",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/wvu_pepper_ver01/data/sn86072054/00415660406/1917040601/0791.jpg","http://chroniclingamerica.loc.gov/lccn/sn86072054/1917-04-06/ed-1/seq-10/thumbnail.jpg",4291,5829,"http://s3.amazonaws.com/ndnp-batches/wvu_pepper_ver01/data/sn86072054/00415660406/1917040601/0791.xml"
