order,set_key,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-25/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-25/ed-1/seq-1/","The Watertown news. May 25, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/whi_elizabeth_ver01/data/sn85040720/00271769581/1917052501/0001.jpg","http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-25/ed-1/seq-1/thumbnail.jpg",7638,10044,"http://s3.amazonaws.com/ndnp-batches/whi_elizabeth_ver01/data/sn85040720/00271769581/1917052501/0001.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-25/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-25/ed-1/seq-2/","The Watertown news. May 25, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/whi_elizabeth_ver01/data/sn85040720/00271769581/1917052501/0002.jpg","http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-25/ed-1/seq-2/thumbnail.jpg",7638,10044,"http://s3.amazonaws.com/ndnp-batches/whi_elizabeth_ver01/data/sn85040720/00271769581/1917052501/0002.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-25/ed-1/seq-3/","http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-25/ed-1/seq-3/","The Watertown news. May 25, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/whi_elizabeth_ver01/data/sn85040720/00271769581/1917052501/0003.jpg","http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-25/ed-1/seq-3/thumbnail.jpg",7638,10044,"http://s3.amazonaws.com/ndnp-batches/whi_elizabeth_ver01/data/sn85040720/00271769581/1917052501/0003.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-25/ed-1/seq-4/","http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-25/ed-1/seq-4/","The Watertown news. May 25, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/whi_elizabeth_ver01/data/sn85040720/00271769581/1917052501/0004.jpg","http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-25/ed-1/seq-4/thumbnail.jpg",7638,10044,"http://s3.amazonaws.com/ndnp-batches/whi_elizabeth_ver01/data/sn85040720/00271769581/1917052501/0004.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-28/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-28/ed-1/seq-1/","The Watertown news. May 28, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/whi_elizabeth_ver01/data/sn85040720/00271769581/1917052801/0005.jpg","http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-28/ed-1/seq-1/thumbnail.jpg",7556,9943,"http://s3.amazonaws.com/ndnp-batches/whi_elizabeth_ver01/data/sn85040720/00271769581/1917052801/0005.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-28/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-28/ed-1/seq-2/","The Watertown news. May 28, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/whi_elizabeth_ver01/data/sn85040720/00271769581/1917052801/0006.jpg","http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-28/ed-1/seq-2/thumbnail.jpg",7556,9943,"http://s3.amazonaws.com/ndnp-batches/whi_elizabeth_ver01/data/sn85040720/00271769581/1917052801/0006.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-28/ed-1/seq-3/","http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-28/ed-1/seq-3/","The Watertown news. May 28, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/whi_elizabeth_ver01/data/sn85040720/00271769581/1917052801/0007.jpg","http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-28/ed-1/seq-3/thumbnail.jpg",7556,9943,"http://s3.amazonaws.com/ndnp-batches/whi_elizabeth_ver01/data/sn85040720/00271769581/1917052801/0007.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-28/ed-1/seq-4/","http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-28/ed-1/seq-4/","The Watertown news. May 28, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/whi_elizabeth_ver01/data/sn85040720/00271769581/1917052801/0008.jpg","http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-28/ed-1/seq-4/thumbnail.jpg",7556,9943,"http://s3.amazonaws.com/ndnp-batches/whi_elizabeth_ver01/data/sn85040720/00271769581/1917052801/0008.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-28/ed-1/seq-5/","http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-28/ed-1/seq-5/","The Watertown news. May 28, 1917. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/whi_elizabeth_ver01/data/sn85040720/00271769581/1917052801/0009.jpg","http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-28/ed-1/seq-5/thumbnail.jpg",7553,10002,"http://s3.amazonaws.com/ndnp-batches/whi_elizabeth_ver01/data/sn85040720/00271769581/1917052801/0009.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-28/ed-1/seq-6/","http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-28/ed-1/seq-6/","The Watertown news. May 28, 1917. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/whi_elizabeth_ver01/data/sn85040720/00271769581/1917052801/0010.jpg","http://chroniclingamerica.loc.gov/lccn/sn85040720/1917-05-28/ed-1/seq-6/thumbnail.jpg",7556,9943,"http://s3.amazonaws.com/ndnp-batches/whi_elizabeth_ver01/data/sn85040720/00271769581/1917052801/0010.xml"
