order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-1/","Arizona republican. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-1/image_1262x1669.jpg","http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-1/thumbnail.jpg",1262,1669,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-2/","Arizona republican. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-2/image_1268x1665.jpg","http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-2/thumbnail.jpg",1268,1665,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-3/","Arizona republican. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-3/image_1255x1677.jpg","http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-3/thumbnail.jpg",1255,1677,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-4/","Arizona republican. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-4/image_1266x1679.jpg","http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-4/thumbnail.jpg",1266,1679,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-5/","Arizona republican. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-5/image_1249x1665.jpg","http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-5/thumbnail.jpg",1249,1665,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-5/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-6/","Arizona republican. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-6/image_1272x1668.jpg","http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-6/thumbnail.jpg",1272,1668,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-6/ocr.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-7/","Arizona republican. April 07, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-7/image_1226x1644.jpg","http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-7/thumbnail.jpg",1226,1644,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-7/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-8/","Arizona republican. April 07, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-8/image_1262x1676.jpg","http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-8/thumbnail.jpg",1262,1676,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-8/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-9/","Arizona republican. April 07, 1917. Page 9",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-9/image_1243x1670.jpg","http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-9/thumbnail.jpg",1243,1670,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-9/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-10/","Arizona republican. April 07, 1917. Page 10",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-10/image_1265x1668.jpg","http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-10/thumbnail.jpg",1265,1668,"http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-10/ocr.xml"
