order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-1/","The Bridgeport evening farmer. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-1/image_1773x2419.jpg","http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-1/thumbnail.jpg",1773,2419,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-2/","The Bridgeport evening farmer. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-2/image_1788x2415.jpg","http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-2/thumbnail.jpg",1788,2415,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-3/","The Bridgeport evening farmer. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-3/image_1784x2403.jpg","http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-3/thumbnail.jpg",1784,2403,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-4/","The Bridgeport evening farmer. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-4/image_1781x2427.jpg","http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-4/thumbnail.jpg",1781,2427,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-5/","The Bridgeport evening farmer. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-5/image_1775x2400.jpg","http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-5/thumbnail.jpg",1775,2400,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-5/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-6/","The Bridgeport evening farmer. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-6/image_1787x2404.jpg","http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-6/thumbnail.jpg",1787,2404,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-6/ocr.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-7/","The Bridgeport evening farmer. April 07, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-7/image_1783x2403.jpg","http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-7/thumbnail.jpg",1783,2403,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-7/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-8/","The Bridgeport evening farmer. April 07, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-8/image_1769x2394.jpg","http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-8/thumbnail.jpg",1769,2394,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-8/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-9/","The Bridgeport evening farmer. April 07, 1917. Page 9",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-9/image_1779x2401.jpg","http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-9/thumbnail.jpg",1779,2401,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-9/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-10/","The Bridgeport evening farmer. April 07, 1917. Page 10",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-10/image_1772x2387.jpg","http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-10/thumbnail.jpg",1772,2387,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-10/ocr.xml"
11,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-11/","The Bridgeport evening farmer. April 07, 1917. Page 11",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-11/image_1788x2394.jpg","http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-11/thumbnail.jpg",1788,2394,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-11/ocr.xml"
12,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-12/","The Bridgeport evening farmer. April 07, 1917. Page 12",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-12/image_1770x2401.jpg","http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-12/thumbnail.jpg",1770,2401,"http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-12/ocr.xml"
13,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-1/","Norwich bulletin. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-1/image_1595x1735.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-1/thumbnail.jpg",1595,1735,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-1/ocr.xml"
14,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-2/","Norwich bulletin. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-2/image_1609x1716.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-2/thumbnail.jpg",1609,1716,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-2/ocr.xml"
15,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-3/","Norwich bulletin. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-3/image_1596x1741.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-3/thumbnail.jpg",1596,1741,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-3/ocr.xml"
16,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-4/","Norwich bulletin. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-4/image_1586x1734.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-4/thumbnail.jpg",1586,1734,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-4/ocr.xml"
17,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-5/","Norwich bulletin. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-5/image_1582x1728.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-5/thumbnail.jpg",1582,1728,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-5/ocr.xml"
18,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-6/","Norwich bulletin. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-6/image_1588x1731.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-6/thumbnail.jpg",1588,1731,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-6/ocr.xml"
19,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-7/","Norwich bulletin. April 07, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-7/image_1586x1731.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-7/thumbnail.jpg",1586,1731,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-7/ocr.xml"
20,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-8/","Norwich bulletin. April 07, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-8/image_1593x1723.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-8/thumbnail.jpg",1593,1723,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-8/ocr.xml"
21,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-9/","Norwich bulletin. April 07, 1917. Page 9",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-9/image_1583x1739.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-9/thumbnail.jpg",1583,1739,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-9/ocr.xml"
22,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-10/","Norwich bulletin. April 07, 1917. Page 10",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-10/image_1603x1718.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-10/thumbnail.jpg",1603,1718,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-10/ocr.xml"
23,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-11/","Norwich bulletin. April 07, 1917. Page 11",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-11/image_1419x1742.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-11/thumbnail.jpg",1419,1742,"http://chroniclingamerica.loc.gov/lccn/sn82014086/1917-04-07/ed-1/seq-11/ocr.xml"
