order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-1/","Alexandria gazette. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-1/image_1643x2202.jpg","http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-1/thumbnail.jpg",1643,2202,"http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-2/","Alexandria gazette. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-2/image_1649x2213.jpg","http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-2/thumbnail.jpg",1649,2213,"http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-3/","Alexandria gazette. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-3/image_1641x2211.jpg","http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-3/thumbnail.jpg",1641,2211,"http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-4/","Alexandria gazette. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-4/image_1638x2207.jpg","http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-4/thumbnail.jpg",1638,2207,"http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/2012271201/1917-04-07/ed-1/seq-1/","Cronaca sovversiva. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/2012271201/1917-04-07/ed-1/seq-1/image_1368x2066.jpg","http://chroniclingamerica.loc.gov/lccn/2012271201/1917-04-07/ed-1/seq-1/thumbnail.jpg",1368,2066,"http://chroniclingamerica.loc.gov/lccn/2012271201/1917-04-07/ed-1/seq-1/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/2012271201/1917-04-07/ed-1/seq-2/","Cronaca sovversiva. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/2012271201/1917-04-07/ed-1/seq-2/image_1341x2057.jpg","http://chroniclingamerica.loc.gov/lccn/2012271201/1917-04-07/ed-1/seq-2/thumbnail.jpg",1341,2057,"http://chroniclingamerica.loc.gov/lccn/2012271201/1917-04-07/ed-1/seq-2/ocr.xml"
7,"http://chroniclingamerica.loc.gov/lccn/2012271201/1917-04-07/ed-1/seq-3/","Cronaca sovversiva. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/2012271201/1917-04-07/ed-1/seq-3/image_1355x2056.jpg","http://chroniclingamerica.loc.gov/lccn/2012271201/1917-04-07/ed-1/seq-3/thumbnail.jpg",1355,2056,"http://chroniclingamerica.loc.gov/lccn/2012271201/1917-04-07/ed-1/seq-3/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/2012271201/1917-04-07/ed-1/seq-4/","Cronaca sovversiva. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/2012271201/1917-04-07/ed-1/seq-4/image_1360x2038.jpg","http://chroniclingamerica.loc.gov/lccn/2012271201/1917-04-07/ed-1/seq-4/thumbnail.jpg",1360,2038,"http://chroniclingamerica.loc.gov/lccn/2012271201/1917-04-07/ed-1/seq-4/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn83045462/1917-04-07/ed-1/seq-1/","Evening star. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83045462/1917-04-07/ed-1/seq-1/image_1304x1623.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045462/1917-04-07/ed-1/seq-1/thumbnail.jpg",1304,1623,"http://chroniclingamerica.loc.gov/lccn/sn83045462/1917-04-07/ed-1/seq-1/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn83045462/1917-04-07/ed-1/seq-2/","Evening star. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83045462/1917-04-07/ed-1/seq-2/image_1306x1634.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045462/1917-04-07/ed-1/seq-2/thumbnail.jpg",1306,1634,"http://chroniclingamerica.loc.gov/lccn/sn83045462/1917-04-07/ed-1/seq-2/ocr.xml"
11,"http://chroniclingamerica.loc.gov/lccn/sn83045462/1917-04-07/ed-1/seq-3/","Evening star. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83045462/1917-04-07/ed-1/seq-3/image_1310x1625.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045462/1917-04-07/ed-1/seq-3/thumbnail.jpg",1310,1625,"http://chroniclingamerica.loc.gov/lccn/sn83045462/1917-04-07/ed-1/seq-3/ocr.xml"
12,"http://chroniclingamerica.loc.gov/lccn/sn83045462/1917-04-07/ed-1/seq-4/","Evening star. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83045462/1917-04-07/ed-1/seq-4/image_1314x1623.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045462/1917-04-07/ed-1/seq-4/thumbnail.jpg",1314,1623,"http://chroniclingamerica.loc.gov/lccn/sn83045462/1917-04-07/ed-1/seq-4/ocr.xml"
