order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn95026701/1918-10-18/ed-1/seq-1/","Nassau County leader. October 18, 1918. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/fu_seven_ver02/data/sn95026701/00175040705/1918101801/0052.jpg","http://chroniclingamerica.loc.gov/lccn/sn95026701/1918-10-18/ed-1/seq-1/thumbnail.jpg",6146,8729,"http://s3.amazonaws.com/ndnp-batches/fu_seven_ver02/data/sn95026701/00175040705/1918101801/0052.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn95026701/1918-10-18/ed-1/seq-2/","Nassau County leader. October 18, 1918. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/fu_seven_ver02/data/sn95026701/00175040705/1918101801/0053.jpg","http://chroniclingamerica.loc.gov/lccn/sn95026701/1918-10-18/ed-1/seq-2/thumbnail.jpg",6043,8633,"http://s3.amazonaws.com/ndnp-batches/fu_seven_ver02/data/sn95026701/00175040705/1918101801/0053.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn95026701/1918-10-18/ed-1/seq-3/","Nassau County leader. October 18, 1918. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/fu_seven_ver02/data/sn95026701/00175040705/1918101801/0054.jpg","http://chroniclingamerica.loc.gov/lccn/sn95026701/1918-10-18/ed-1/seq-3/thumbnail.jpg",6037,8749,"http://s3.amazonaws.com/ndnp-batches/fu_seven_ver02/data/sn95026701/00175040705/1918101801/0054.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn95026701/1918-10-18/ed-1/seq-4/","Nassau County leader. October 18, 1918. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/fu_seven_ver02/data/sn95026701/00175040705/1918101801/0055.jpg","http://chroniclingamerica.loc.gov/lccn/sn95026701/1918-10-18/ed-1/seq-4/thumbnail.jpg",6067,8659,"http://s3.amazonaws.com/ndnp-batches/fu_seven_ver02/data/sn95026701/00175040705/1918101801/0055.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn95026701/1918-11-08/ed-1/seq-1/","Nassau County leader. November 08, 1918. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/fu_seven_ver02/data/sn95026701/00175040705/1918110801/0056.jpg","http://chroniclingamerica.loc.gov/lccn/sn95026701/1918-11-08/ed-1/seq-1/thumbnail.jpg",6249,8889,"http://s3.amazonaws.com/ndnp-batches/fu_seven_ver02/data/sn95026701/00175040705/1918110801/0056.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn95026701/1918-11-08/ed-1/seq-2/","Nassau County leader. November 08, 1918. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/fu_seven_ver02/data/sn95026701/00175040705/1918110801/0057.jpg","http://chroniclingamerica.loc.gov/lccn/sn95026701/1918-11-08/ed-1/seq-2/thumbnail.jpg",6068,8726,"http://s3.amazonaws.com/ndnp-batches/fu_seven_ver02/data/sn95026701/00175040705/1918110801/0057.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn95026701/1918-11-08/ed-1/seq-3/","Nassau County leader. November 08, 1918. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/fu_seven_ver02/data/sn95026701/00175040705/1918110801/0058.jpg","http://chroniclingamerica.loc.gov/lccn/sn95026701/1918-11-08/ed-1/seq-3/thumbnail.jpg",5933,8776,"http://s3.amazonaws.com/ndnp-batches/fu_seven_ver02/data/sn95026701/00175040705/1918110801/0058.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn95026701/1918-11-08/ed-1/seq-4/","Nassau County leader. November 08, 1918. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/fu_seven_ver02/data/sn95026701/00175040705/1918110801/0059.jpg","http://chroniclingamerica.loc.gov/lccn/sn95026701/1918-11-08/ed-1/seq-4/thumbnail.jpg",6109,8814,"http://s3.amazonaws.com/ndnp-batches/fu_seven_ver02/data/sn95026701/00175040705/1918110801/0059.xml"
9,"http://chroniclingamerica.loc.gov/lccn/2014271550/1918-01-31/ed-1/seq-1/","The Ocaleean ensign / January 31, 1918. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/fu_criser_ver02/data/2014271550/00295865805/1918013101/0114.jpg","http://chroniclingamerica.loc.gov/lccn/2014271550/1918-01-31/ed-1/seq-1/thumbnail.jpg",5608,8535,"http://s3.amazonaws.com/ndnp-batches/fu_criser_ver02/data/2014271550/00295865805/1918013101/0114.xml"
10,"http://chroniclingamerica.loc.gov/lccn/2014271550/1918-01-31/ed-1/seq-2/","The Ocaleean ensign / January 31, 1918. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/fu_criser_ver02/data/2014271550/00295865805/1918013101/0115.jpg","http://chroniclingamerica.loc.gov/lccn/2014271550/1918-01-31/ed-1/seq-2/thumbnail.jpg",5660,8497,"http://s3.amazonaws.com/ndnp-batches/fu_criser_ver02/data/2014271550/00295865805/1918013101/0115.xml"
