order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-06/ed-1/seq-1/","The Maui news. April 06, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-06/ed-1/seq-1/image_1164x1585.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-06/ed-1/seq-1/thumbnail.jpg",1164,1585,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-06/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-06/ed-1/seq-2/","The Maui news. April 06, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-06/ed-1/seq-2/image_1105x1575.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-06/ed-1/seq-2/thumbnail.jpg",1105,1575,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-06/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-06/ed-1/seq-3/","The Maui news. April 06, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-06/ed-1/seq-3/image_1134x1575.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-06/ed-1/seq-3/thumbnail.jpg",1134,1575,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-06/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-06/ed-1/seq-4/","The Maui news. April 06, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-06/ed-1/seq-4/image_1121x1566.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-06/ed-1/seq-4/thumbnail.jpg",1121,1566,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-06/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-06/ed-1/seq-5/","The Maui news. April 06, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-06/ed-1/seq-5/image_1150x1560.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-06/ed-1/seq-5/thumbnail.jpg",1150,1560,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-06/ed-1/seq-5/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-06/ed-1/seq-6/","The Maui news. April 06, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-06/ed-1/seq-6/image_1151x1579.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-06/ed-1/seq-6/thumbnail.jpg",1151,1579,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-06/ed-1/seq-6/ocr.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-13/ed-1/seq-1/","The Maui news. April 13, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-13/ed-1/seq-1/image_1159x1581.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-13/ed-1/seq-1/thumbnail.jpg",1159,1581,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-13/ed-1/seq-1/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-13/ed-1/seq-2/","The Maui news. April 13, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-13/ed-1/seq-2/image_1109x1560.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-13/ed-1/seq-2/thumbnail.jpg",1109,1560,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-13/ed-1/seq-2/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-13/ed-1/seq-3/","The Maui news. April 13, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-13/ed-1/seq-3/image_1109x1574.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-13/ed-1/seq-3/thumbnail.jpg",1109,1574,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-13/ed-1/seq-3/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-13/ed-1/seq-4/","The Maui news. April 13, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-13/ed-1/seq-4/image_1098x1567.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-13/ed-1/seq-4/thumbnail.jpg",1098,1567,"http://chroniclingamerica.loc.gov/lccn/sn82014689/1917-04-13/ed-1/seq-4/ocr.xml"
