order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-1/","Honolulu star-bulletin. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-1/image_1694x2120.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-1/thumbnail.jpg",1694,2120,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-2/","Honolulu star-bulletin. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-2/image_1680x2109.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-2/thumbnail.jpg",1680,2109,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-3/","Honolulu star-bulletin. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-3/image_1685x2119.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-3/thumbnail.jpg",1685,2119,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-4/","Honolulu star-bulletin. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-4/image_1693x2105.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-4/thumbnail.jpg",1693,2105,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-5/","Honolulu star-bulletin. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-5/image_1698x2115.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-5/thumbnail.jpg",1698,2115,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-5/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-6/","Honolulu star-bulletin. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-6/image_1700x2087.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-6/thumbnail.jpg",1700,2087,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-6/ocr.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-7/","Honolulu star-bulletin. April 07, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-7/image_1687x2103.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-7/thumbnail.jpg",1687,2103,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-7/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-8/","Honolulu star-bulletin. April 07, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-8/image_1691x2114.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-8/thumbnail.jpg",1691,2114,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-8/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-9/","Honolulu star-bulletin. April 07, 1917. Page 9",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-9/image_1697x2111.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-9/thumbnail.jpg",1697,2111,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-9/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-10/","Honolulu star-bulletin. April 07, 1917. Page 10",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-10/image_1719x2132.jpg","http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-10/thumbnail.jpg",1719,2132,"http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-10/ocr.xml"
