order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-1/","The Appeal. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-1/image_1864x2532.jpg","http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-1/thumbnail.jpg",1864,2532,"http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-2/","The Appeal. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-2/image_1848x2571.jpg","http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-2/thumbnail.jpg",1848,2571,"http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-3/","The Appeal. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-3/image_1850x2582.jpg","http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-3/thumbnail.jpg",1850,2582,"http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-4/","The Appeal. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-4/image_1856x2554.jpg","http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-4/thumbnail.jpg",1856,2554,"http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-1/","The broad ax. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-1/image_1377x2035.jpg","http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-1/thumbnail.jpg",1377,2035,"http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-1/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-2/","The broad ax. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-2/image_1373x2067.jpg","http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-2/thumbnail.jpg",1373,2067,"http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-2/ocr.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-3/","The broad ax. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-3/image_1378x2036.jpg","http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-3/thumbnail.jpg",1378,2036,"http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-3/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-4/","The broad ax. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-4/image_1379x2035.jpg","http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-4/thumbnail.jpg",1379,2035,"http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-4/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-5/","The broad ax. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-5/image_1358x2043.jpg","http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-5/thumbnail.jpg",1358,2043,"http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-5/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-6/","The broad ax. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-6/image_1363x2055.jpg","http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-6/thumbnail.jpg",1363,2055,"http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-6/ocr.xml"
11,"http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-7/","The broad ax. April 07, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-7/image_1369x2038.jpg","http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-7/thumbnail.jpg",1369,2038,"http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-7/ocr.xml"
12,"http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-8/","The broad ax. April 07, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-8/image_1355x2049.jpg","http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-8/thumbnail.jpg",1355,2049,"http://chroniclingamerica.loc.gov/lccn/sn84024055/1917-04-07/ed-1/seq-8/ocr.xml"
13,"http://chroniclingamerica.loc.gov/lccn/sn84025828/1917-04-07/ed-1/seq-1/","Chicago eagle. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84025828/1917-04-07/ed-1/seq-1/image_1313x1775.jpg","http://chroniclingamerica.loc.gov/lccn/sn84025828/1917-04-07/ed-1/seq-1/thumbnail.jpg",1313,1775,"http://chroniclingamerica.loc.gov/lccn/sn84025828/1917-04-07/ed-1/seq-1/ocr.xml"
14,"http://chroniclingamerica.loc.gov/lccn/sn84025828/1917-04-07/ed-1/seq-2/","Chicago eagle. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84025828/1917-04-07/ed-1/seq-2/image_1277x1794.jpg","http://chroniclingamerica.loc.gov/lccn/sn84025828/1917-04-07/ed-1/seq-2/thumbnail.jpg",1277,1794,"http://chroniclingamerica.loc.gov/lccn/sn84025828/1917-04-07/ed-1/seq-2/ocr.xml"
