order,set_key,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-06/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-06/ed-1/seq-1/","The Jasper weekly courier. April 06, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/in_bird_ver02/data/sn84023963/00212470776/1917040601/0115.jpg","http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-06/ed-1/seq-1/thumbnail.jpg",8648,12344,"http://s3.amazonaws.com/ndnp-batches/in_bird_ver02/data/sn84023963/00212470776/1917040601/0115.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-06/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-06/ed-1/seq-2/","The Jasper weekly courier. April 06, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/in_bird_ver02/data/sn84023963/00212470776/1917040601/0116.jpg","http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-06/ed-1/seq-2/thumbnail.jpg",8632,12360,"http://s3.amazonaws.com/ndnp-batches/in_bird_ver02/data/sn84023963/00212470776/1917040601/0116.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-06/ed-1/seq-3/","http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-06/ed-1/seq-3/","The Jasper weekly courier. April 06, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/in_bird_ver02/data/sn84023963/00212470776/1917040601/0117.jpg","http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-06/ed-1/seq-3/thumbnail.jpg",8712,12424,"http://s3.amazonaws.com/ndnp-batches/in_bird_ver02/data/sn84023963/00212470776/1917040601/0117.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-06/ed-1/seq-4/","http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-06/ed-1/seq-4/","The Jasper weekly courier. April 06, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/in_bird_ver02/data/sn84023963/00212470776/1917040601/0118.jpg","http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-06/ed-1/seq-4/thumbnail.jpg",8680,12360,"http://s3.amazonaws.com/ndnp-batches/in_bird_ver02/data/sn84023963/00212470776/1917040601/0118.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-06/ed-1/seq-5/","http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-06/ed-1/seq-5/","The Jasper weekly courier. April 06, 1917. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/in_bird_ver02/data/sn84023963/00212470776/1917040601/0119.jpg","http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-06/ed-1/seq-5/thumbnail.jpg",8664,12392,"http://s3.amazonaws.com/ndnp-batches/in_bird_ver02/data/sn84023963/00212470776/1917040601/0119.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-06/ed-1/seq-6/","http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-06/ed-1/seq-6/","The Jasper weekly courier. April 06, 1917. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/in_bird_ver02/data/sn84023963/00212470776/1917040601/0120.jpg","http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-06/ed-1/seq-6/thumbnail.jpg",8632,12408,"http://s3.amazonaws.com/ndnp-batches/in_bird_ver02/data/sn84023963/00212470776/1917040601/0120.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-06/ed-1/seq-7/","http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-06/ed-1/seq-7/","The Jasper weekly courier. April 06, 1917. Page 7",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/in_bird_ver02/data/sn84023963/00212470776/1917040601/0121.jpg","http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-06/ed-1/seq-7/thumbnail.jpg",8664,12360,"http://s3.amazonaws.com/ndnp-batches/in_bird_ver02/data/sn84023963/00212470776/1917040601/0121.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-06/ed-1/seq-8/","http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-06/ed-1/seq-8/","The Jasper weekly courier. April 06, 1917. Page 8",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/in_bird_ver02/data/sn84023963/00212470776/1917040601/0122.jpg","http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-06/ed-1/seq-8/thumbnail.jpg",8712,12344,"http://s3.amazonaws.com/ndnp-batches/in_bird_ver02/data/sn84023963/00212470776/1917040601/0122.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-13/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-13/ed-1/seq-1/","The Jasper weekly courier. April 13, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/in_bird_ver02/data/sn84023963/00212470776/1917041301/0123.jpg","http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-13/ed-1/seq-1/thumbnail.jpg",8792,12328,"http://s3.amazonaws.com/ndnp-batches/in_bird_ver02/data/sn84023963/00212470776/1917041301/0123.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-13/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-13/ed-1/seq-2/","The Jasper weekly courier. April 13, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/in_bird_ver02/data/sn84023963/00212470776/1917041301/0124.jpg","http://chroniclingamerica.loc.gov/lccn/sn84023963/1917-04-13/ed-1/seq-2/thumbnail.jpg",8696,12280,"http://s3.amazonaws.com/ndnp-batches/in_bird_ver02/data/sn84023963/00212470776/1917041301/0124.xml"
