order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-1/","The Lake County times. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-1/image_1529x2006.jpg","http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-1/thumbnail.jpg",1529,2006,"http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-2/","The Lake County times. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-2/image_1506x2015.jpg","http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-2/thumbnail.jpg",1506,2015,"http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-3/","The Lake County times. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-3/image_1514x2005.jpg","http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-3/thumbnail.jpg",1514,2005,"http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-4/","The Lake County times. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-4/image_1488x1992.jpg","http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-4/thumbnail.jpg",1488,1992,"http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-5/","The Lake County times. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-5/image_1473x1976.jpg","http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-5/thumbnail.jpg",1473,1976,"http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-5/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-6/","The Lake County times. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-6/image_1483x1999.jpg","http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-6/thumbnail.jpg",1483,1999,"http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-6/ocr.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-7/","The Lake County times. April 07, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-7/image_1481x1991.jpg","http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-7/thumbnail.jpg",1481,1991,"http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-7/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-8/","The Lake County times. April 07, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-8/image_1490x2010.jpg","http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-8/thumbnail.jpg",1490,2010,"http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-8/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-1/","South Bend news-times. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-1/image_2214x2574.jpg","http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-1/thumbnail.jpg",2214,2574,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-1/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-2/","South Bend news-times. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-2/image_2218x2599.jpg","http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-2/thumbnail.jpg",2218,2599,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-2/ocr.xml"
11,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-3/","South Bend news-times. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-3/image_2210x2584.jpg","http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-3/thumbnail.jpg",2210,2584,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-3/ocr.xml"
12,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-4/","South Bend news-times. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-4/image_2205x2576.jpg","http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-4/thumbnail.jpg",2205,2576,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-4/ocr.xml"
13,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-5/","South Bend news-times. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-5/image_2263x2590.jpg","http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-5/thumbnail.jpg",2263,2590,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-5/ocr.xml"
14,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-6/","South Bend news-times. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-6/image_2225x2591.jpg","http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-6/thumbnail.jpg",2225,2591,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-6/ocr.xml"
15,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-7/","South Bend news-times. April 07, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-7/image_2213x2596.jpg","http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-7/thumbnail.jpg",2213,2596,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-7/ocr.xml"
16,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-8/","South Bend news-times. April 07, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-8/image_2213x2585.jpg","http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-8/thumbnail.jpg",2213,2585,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-8/ocr.xml"
17,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-9/","South Bend news-times. April 07, 1917. Page 9",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-9/image_2226x2597.jpg","http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-9/thumbnail.jpg",2226,2597,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-9/ocr.xml"
18,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-10/","South Bend news-times. April 07, 1917. Page 10",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-10/image_2216x2587.jpg","http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-10/thumbnail.jpg",2216,2587,"http://chroniclingamerica.loc.gov/lccn/sn87055779/1917-04-07/ed-1/seq-10/ocr.xml"
