order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-1/","The daily Gate City and constitution-Democrat. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-1/image_1393x1754.jpg","http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-1/thumbnail.jpg",1393,1754,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-2/","The daily Gate City and constitution-Democrat. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-2/image_1394x1764.jpg","http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-2/thumbnail.jpg",1394,1764,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-3/","The daily Gate City and constitution-Democrat. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-3/image_1389x1758.jpg","http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-3/thumbnail.jpg",1389,1758,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-4/","The daily Gate City and constitution-Democrat. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-4/image_1393x1767.jpg","http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-4/thumbnail.jpg",1393,1767,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-5/","The daily Gate City and constitution-Democrat. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-5/image_1391x1754.jpg","http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-5/thumbnail.jpg",1391,1754,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-5/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-6/","The daily Gate City and constitution-Democrat. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-6/image_1398x1775.jpg","http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-6/thumbnail.jpg",1398,1775,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-6/ocr.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-7/","The daily Gate City and constitution-Democrat. April 07, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-7/image_1395x1754.jpg","http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-7/thumbnail.jpg",1395,1754,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-7/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-8/","The daily Gate City and constitution-Democrat. April 07, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-8/image_1397x1782.jpg","http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-8/thumbnail.jpg",1397,1782,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-8/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-9/","The daily Gate City and constitution-Democrat. April 07, 1917. Page 9",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-9/image_1389x1754.jpg","http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-9/thumbnail.jpg",1389,1754,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-9/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-10/","The daily Gate City and constitution-Democrat. April 07, 1917. Page 10",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-10/image_1399x1776.jpg","http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-10/thumbnail.jpg",1399,1776,"http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-10/ocr.xml"
11,"http://chroniclingamerica.loc.gov/lccn/sn85049554/1917-04-07/ed-1/seq-1/","Evening times-Republican. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85049554/1917-04-07/ed-1/seq-1/image_1421x1983.jpg","http://chroniclingamerica.loc.gov/lccn/sn85049554/1917-04-07/ed-1/seq-1/thumbnail.jpg",1421,1983,"http://chroniclingamerica.loc.gov/lccn/sn85049554/1917-04-07/ed-1/seq-1/ocr.xml"
