order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-1/","The Hays free press. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-1/image_1823x2273.jpg","http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-1/thumbnail.jpg",1823,2273,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-2/","The Hays free press. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-2/image_1805x2263.jpg","http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-2/thumbnail.jpg",1805,2263,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-3/","The Hays free press. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-3/image_1815x2268.jpg","http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-3/thumbnail.jpg",1815,2268,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-4/","The Hays free press. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-4/image_1823x2284.jpg","http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-4/thumbnail.jpg",1823,2284,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-5/","The Hays free press. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-5/image_1823x2268.jpg","http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-5/thumbnail.jpg",1823,2268,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-5/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-6/","The Hays free press. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-6/image_1808x2284.jpg","http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-6/thumbnail.jpg",1808,2284,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-6/ocr.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-7/","The Hays free press. April 07, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-7/image_1801x2248.jpg","http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-7/thumbnail.jpg",1801,2248,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-7/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-8/","The Hays free press. April 07, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-8/image_1824x2291.jpg","http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-8/thumbnail.jpg",1824,2291,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-8/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-9/","The Hays free press. April 07, 1917. Page 9",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-9/image_1121x1339.jpg","http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-9/thumbnail.jpg",1121,1339,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-9/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-10/","The Hays free press. April 07, 1917. Page 10",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-10/image_1110x1321.jpg","http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-10/thumbnail.jpg",1110,1321,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-10/ocr.xml"
11,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-11/","The Hays free press. April 07, 1917. Page 11",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-11/image_1110x1342.jpg","http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-11/thumbnail.jpg",1110,1342,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-11/ocr.xml"
12,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-12/","The Hays free press. April 07, 1917. Page 12",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-12/image_1102x1320.jpg","http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-12/thumbnail.jpg",1102,1320,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-12/ocr.xml"
13,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-13/","The Hays free press. April 07, 1917. Page 13",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-13/image_1094x1322.jpg","http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-13/thumbnail.jpg",1094,1322,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-13/ocr.xml"
14,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-14/","The Hays free press. April 07, 1917. Page 14",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-14/image_1106x1344.jpg","http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-14/thumbnail.jpg",1106,1344,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-14/ocr.xml"
15,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-15/","The Hays free press. April 07, 1917. Page 15",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-15/image_1101x1343.jpg","http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-15/thumbnail.jpg",1101,1343,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-15/ocr.xml"
16,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-16/","The Hays free press. April 07, 1917. Page 16",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-16/image_1106x1336.jpg","http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-16/thumbnail.jpg",1106,1336,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-16/ocr.xml"
17,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-17/","The Hays free press. April 07, 1917. Page 17",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-17/image_1101x1325.jpg","http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-17/thumbnail.jpg",1101,1325,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-17/ocr.xml"
18,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-18/","The Hays free press. April 07, 1917. Page 18",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-18/image_1115x1366.jpg","http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-18/thumbnail.jpg",1115,1366,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-18/ocr.xml"
19,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-19/","The Hays free press. April 07, 1917. Page 19",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-19/image_1098x1332.jpg","http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-19/thumbnail.jpg",1098,1332,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-19/ocr.xml"
20,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-20/","The Hays free press. April 07, 1917. Page 20",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-20/image_1106x1327.jpg","http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-20/thumbnail.jpg",1106,1327,"http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-20/ocr.xml"
21,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-1/","The Topeka state journal. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-1/image_1359x1457.jpg","http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-1/thumbnail.jpg",1359,1457,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-1/ocr.xml"
22,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-2/","The Topeka state journal. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-2/image_1362x1453.jpg","http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-2/thumbnail.jpg",1362,1453,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-2/ocr.xml"
23,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-3/","The Topeka state journal. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-3/image_1370x1445.jpg","http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-3/thumbnail.jpg",1370,1445,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-3/ocr.xml"
24,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-4/","The Topeka state journal. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-4/image_1355x1457.jpg","http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-4/thumbnail.jpg",1355,1457,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-4/ocr.xml"
25,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-5/","The Topeka state journal. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-5/image_1351x1444.jpg","http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-5/thumbnail.jpg",1351,1444,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-5/ocr.xml"
26,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-6/","The Topeka state journal. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-6/image_1366x1445.jpg","http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-6/thumbnail.jpg",1366,1445,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-6/ocr.xml"
27,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-7/","The Topeka state journal. April 07, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-7/image_1357x1437.jpg","http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-7/thumbnail.jpg",1357,1437,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-7/ocr.xml"
28,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-8/","The Topeka state journal. April 07, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-8/image_1366x1453.jpg","http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-8/thumbnail.jpg",1366,1453,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-8/ocr.xml"
29,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-9/","The Topeka state journal. April 07, 1917. Page 9",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-9/image_1360x1438.jpg","http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-9/thumbnail.jpg",1360,1438,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-9/ocr.xml"
30,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-10/","The Topeka state journal. April 07, 1917. Page 10",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-10/image_1360x1448.jpg","http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-10/thumbnail.jpg",1360,1448,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-10/ocr.xml"
31,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-11/","The Topeka state journal. April 07, 1917. Page 11",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-11/image_1358x1441.jpg","http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-11/thumbnail.jpg",1358,1441,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-11/ocr.xml"
32,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-12/","The Topeka state journal. April 07, 1917. Page 12",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-12/image_1361x1452.jpg","http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-12/thumbnail.jpg",1361,1452,"http://chroniclingamerica.loc.gov/lccn/sn82016014/1917-04-07/ed-1/seq-12/ocr.xml"
