order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-1/","Hopkinsville Kentuckian. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-1/image_1124x1617.jpg","http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-1/thumbnail.jpg",1124,1617,"http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-2/","Hopkinsville Kentuckian. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-2/image_1133x1589.jpg","http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-2/thumbnail.jpg",1133,1589,"http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-3/","Hopkinsville Kentuckian. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-3/image_1130x1599.jpg","http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-3/thumbnail.jpg",1130,1599,"http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-4/","Hopkinsville Kentuckian. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-4/image_1087x1583.jpg","http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-4/thumbnail.jpg",1087,1583,"http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-5/","Hopkinsville Kentuckian. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-5/image_1100x1592.jpg","http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-5/thumbnail.jpg",1100,1592,"http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-5/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-6/","Hopkinsville Kentuckian. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-6/image_1132x1575.jpg","http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-6/thumbnail.jpg",1132,1575,"http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-6/ocr.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-7/","Hopkinsville Kentuckian. April 07, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-7/image_1136x1575.jpg","http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-7/thumbnail.jpg",1136,1575,"http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-7/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-8/","Hopkinsville Kentuckian. April 07, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-8/image_1110x1570.jpg","http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-8/thumbnail.jpg",1110,1570,"http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-8/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn86069180/1917-04-07/ed-1/seq-1/","Kentucky Irish American. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86069180/1917-04-07/ed-1/seq-1/image_1390x1855.jpg","http://chroniclingamerica.loc.gov/lccn/sn86069180/1917-04-07/ed-1/seq-1/thumbnail.jpg",1390,1855,"http://chroniclingamerica.loc.gov/lccn/sn86069180/1917-04-07/ed-1/seq-1/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn86069180/1917-04-07/ed-1/seq-2/","Kentucky Irish American. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86069180/1917-04-07/ed-1/seq-2/image_1393x1861.jpg","http://chroniclingamerica.loc.gov/lccn/sn86069180/1917-04-07/ed-1/seq-2/thumbnail.jpg",1393,1861,"http://chroniclingamerica.loc.gov/lccn/sn86069180/1917-04-07/ed-1/seq-2/ocr.xml"
11,"http://chroniclingamerica.loc.gov/lccn/sn86069180/1917-04-07/ed-1/seq-3/","Kentucky Irish American. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86069180/1917-04-07/ed-1/seq-3/image_1395x1857.jpg","http://chroniclingamerica.loc.gov/lccn/sn86069180/1917-04-07/ed-1/seq-3/thumbnail.jpg",1395,1857,"http://chroniclingamerica.loc.gov/lccn/sn86069180/1917-04-07/ed-1/seq-3/ocr.xml"
