order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn88064057/1917-04-07/ed-1/seq-1/","Abbeville progress. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88064057/1917-04-07/ed-1/seq-1/image_1491x2083.jpg","http://chroniclingamerica.loc.gov/lccn/sn88064057/1917-04-07/ed-1/seq-1/thumbnail.jpg",1491,2083,"http://chroniclingamerica.loc.gov/lccn/sn88064057/1917-04-07/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn88064057/1917-04-07/ed-1/seq-2/","Abbeville progress. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88064057/1917-04-07/ed-1/seq-2/image_1525x2070.jpg","http://chroniclingamerica.loc.gov/lccn/sn88064057/1917-04-07/ed-1/seq-2/thumbnail.jpg",1525,2070,"http://chroniclingamerica.loc.gov/lccn/sn88064057/1917-04-07/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn88064057/1917-04-07/ed-1/seq-3/","Abbeville progress. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88064057/1917-04-07/ed-1/seq-3/image_1509x2079.jpg","http://chroniclingamerica.loc.gov/lccn/sn88064057/1917-04-07/ed-1/seq-3/thumbnail.jpg",1509,2079,"http://chroniclingamerica.loc.gov/lccn/sn88064057/1917-04-07/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn88064057/1917-04-07/ed-1/seq-4/","Abbeville progress. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88064057/1917-04-07/ed-1/seq-4/image_1467x2069.jpg","http://chroniclingamerica.loc.gov/lccn/sn88064057/1917-04-07/ed-1/seq-4/thumbnail.jpg",1467,2069,"http://chroniclingamerica.loc.gov/lccn/sn88064057/1917-04-07/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn88064176/1917-04-07/ed-1/seq-1/","The Colfax chronicle. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88064176/1917-04-07/ed-1/seq-1/image_1252x1808.jpg","http://chroniclingamerica.loc.gov/lccn/sn88064176/1917-04-07/ed-1/seq-1/thumbnail.jpg",1252,1808,"http://chroniclingamerica.loc.gov/lccn/sn88064176/1917-04-07/ed-1/seq-1/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn88064176/1917-04-07/ed-1/seq-2/","The Colfax chronicle. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88064176/1917-04-07/ed-1/seq-2/image_1252x1808.jpg","http://chroniclingamerica.loc.gov/lccn/sn88064176/1917-04-07/ed-1/seq-2/thumbnail.jpg",1252,1808,"http://chroniclingamerica.loc.gov/lccn/sn88064176/1917-04-07/ed-1/seq-2/ocr.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn88064176/1917-04-07/ed-1/seq-3/","The Colfax chronicle. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88064176/1917-04-07/ed-1/seq-3/image_1252x1808.jpg","http://chroniclingamerica.loc.gov/lccn/sn88064176/1917-04-07/ed-1/seq-3/thumbnail.jpg",1252,1808,"http://chroniclingamerica.loc.gov/lccn/sn88064176/1917-04-07/ed-1/seq-3/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn88064176/1917-04-07/ed-1/seq-4/","The Colfax chronicle. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88064176/1917-04-07/ed-1/seq-4/image_1252x1808.jpg","http://chroniclingamerica.loc.gov/lccn/sn88064176/1917-04-07/ed-1/seq-4/thumbnail.jpg",1252,1808,"http://chroniclingamerica.loc.gov/lccn/sn88064176/1917-04-07/ed-1/seq-4/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn85034248/1917-04-07/ed-1/seq-1/","The Donaldsonville chief. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85034248/1917-04-07/ed-1/seq-1/image_1442x2022.jpg","http://chroniclingamerica.loc.gov/lccn/sn85034248/1917-04-07/ed-1/seq-1/thumbnail.jpg",1442,2022,"http://chroniclingamerica.loc.gov/lccn/sn85034248/1917-04-07/ed-1/seq-1/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn85034248/1917-04-07/ed-1/seq-2/","The Donaldsonville chief. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85034248/1917-04-07/ed-1/seq-2/image_1442x2014.jpg","http://chroniclingamerica.loc.gov/lccn/sn85034248/1917-04-07/ed-1/seq-2/thumbnail.jpg",1442,2014,"http://chroniclingamerica.loc.gov/lccn/sn85034248/1917-04-07/ed-1/seq-2/ocr.xml"
