order,set_key,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-06/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-06/ed-1/seq-1/","Der Deutsche correspondent. April 06, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mdu_bode_ver03/data/sn83045081/print/1917040601/8676.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-06/ed-1/seq-1/thumbnail.jpg",4965,6635,"http://s3.amazonaws.com/ndnp-batches/mdu_bode_ver03/data/sn83045081/print/1917040601/8676.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-06/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-06/ed-1/seq-2/","Der Deutsche correspondent. April 06, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mdu_bode_ver03/data/sn83045081/print/1917040601/8677.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-06/ed-1/seq-2/thumbnail.jpg",5047,6661,"http://s3.amazonaws.com/ndnp-batches/mdu_bode_ver03/data/sn83045081/print/1917040601/8677.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-06/ed-1/seq-3/","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-06/ed-1/seq-3/","Der Deutsche correspondent. April 06, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mdu_bode_ver03/data/sn83045081/print/1917040601/8678.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-06/ed-1/seq-3/thumbnail.jpg",4979,6679,"http://s3.amazonaws.com/ndnp-batches/mdu_bode_ver03/data/sn83045081/print/1917040601/8678.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-06/ed-1/seq-4/","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-06/ed-1/seq-4/","Der Deutsche correspondent. April 06, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mdu_bode_ver03/data/sn83045081/print/1917040601/8679.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-06/ed-1/seq-4/thumbnail.jpg",4971,6665,"http://s3.amazonaws.com/ndnp-batches/mdu_bode_ver03/data/sn83045081/print/1917040601/8679.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-06/ed-1/seq-5/","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-06/ed-1/seq-5/","Der Deutsche correspondent. April 06, 1917. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mdu_bode_ver03/data/sn83045081/print/1917040601/8680.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-06/ed-1/seq-5/thumbnail.jpg",5019,6657,"http://s3.amazonaws.com/ndnp-batches/mdu_bode_ver03/data/sn83045081/print/1917040601/8680.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-06/ed-1/seq-6/","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-06/ed-1/seq-6/","Der Deutsche correspondent. April 06, 1917. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mdu_bode_ver03/data/sn83045081/print/1917040601/8681.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-06/ed-1/seq-6/thumbnail.jpg",4990,6681,"http://s3.amazonaws.com/ndnp-batches/mdu_bode_ver03/data/sn83045081/print/1917040601/8681.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-06/ed-1/seq-7/","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-06/ed-1/seq-7/","Der Deutsche correspondent. April 06, 1917. Page 7",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mdu_bode_ver03/data/sn83045081/print/1917040601/8682.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-06/ed-1/seq-7/thumbnail.jpg",5048,6677,"http://s3.amazonaws.com/ndnp-batches/mdu_bode_ver03/data/sn83045081/print/1917040601/8682.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-06/ed-1/seq-8/","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-06/ed-1/seq-8/","Der Deutsche correspondent. April 06, 1917. Page 8",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mdu_bode_ver03/data/sn83045081/print/1917040601/8683.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-06/ed-1/seq-8/thumbnail.jpg",4983,6615,"http://s3.amazonaws.com/ndnp-batches/mdu_bode_ver03/data/sn83045081/print/1917040601/8683.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-07/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-07/ed-1/seq-1/","Der Deutsche correspondent. April 07, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mdu_bode_ver03/data/sn83045081/print/1917040701/8684.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-07/ed-1/seq-1/thumbnail.jpg",4897,6640,"http://s3.amazonaws.com/ndnp-batches/mdu_bode_ver03/data/sn83045081/print/1917040701/8684.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-07/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-07/ed-1/seq-2/","Der Deutsche correspondent. April 07, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mdu_bode_ver03/data/sn83045081/print/1917040701/8685.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-07/ed-1/seq-2/thumbnail.jpg",4989,6630,"http://s3.amazonaws.com/ndnp-batches/mdu_bode_ver03/data/sn83045081/print/1917040701/8685.xml"
11,"http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-07/ed-1/seq-3/","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-07/ed-1/seq-3/","Der Deutsche correspondent. April 07, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mdu_bode_ver03/data/sn83045081/print/1917040701/8686.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-07/ed-1/seq-3/thumbnail.jpg",5021,6640,"http://s3.amazonaws.com/ndnp-batches/mdu_bode_ver03/data/sn83045081/print/1917040701/8686.xml"
12,"http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-07/ed-1/seq-4/","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-07/ed-1/seq-4/","Der Deutsche correspondent. April 07, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mdu_bode_ver03/data/sn83045081/print/1917040701/8687.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-07/ed-1/seq-4/thumbnail.jpg",5025,6620,"http://s3.amazonaws.com/ndnp-batches/mdu_bode_ver03/data/sn83045081/print/1917040701/8687.xml"
13,"http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-07/ed-1/seq-5/","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-07/ed-1/seq-5/","Der Deutsche correspondent. April 07, 1917. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mdu_bode_ver03/data/sn83045081/print/1917040701/8688.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-07/ed-1/seq-5/thumbnail.jpg",5033,6650,"http://s3.amazonaws.com/ndnp-batches/mdu_bode_ver03/data/sn83045081/print/1917040701/8688.xml"
14,"http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-07/ed-1/seq-6/","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-07/ed-1/seq-6/","Der Deutsche correspondent. April 07, 1917. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mdu_bode_ver03/data/sn83045081/print/1917040701/8689.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-07/ed-1/seq-6/thumbnail.jpg",5052,6610,"http://s3.amazonaws.com/ndnp-batches/mdu_bode_ver03/data/sn83045081/print/1917040701/8689.xml"
15,"http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-07/ed-1/seq-7/","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-07/ed-1/seq-7/","Der Deutsche correspondent. April 07, 1917. Page 7",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mdu_bode_ver03/data/sn83045081/print/1917040701/8690.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-07/ed-1/seq-7/thumbnail.jpg",5052,6644,"http://s3.amazonaws.com/ndnp-batches/mdu_bode_ver03/data/sn83045081/print/1917040701/8690.xml"
16,"http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-07/ed-1/seq-8/","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-07/ed-1/seq-8/","Der Deutsche correspondent. April 07, 1917. Page 8",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mdu_bode_ver03/data/sn83045081/print/1917040701/8691.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-07/ed-1/seq-8/thumbnail.jpg",4945,6624,"http://s3.amazonaws.com/ndnp-batches/mdu_bode_ver03/data/sn83045081/print/1917040701/8691.xml"
17,"http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-08/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-08/ed-1/seq-1/","Der Deutsche correspondent. April 08, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mdu_bode_ver03/data/sn83045081/print/1917040801/8692.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-08/ed-1/seq-1/thumbnail.jpg",5014,6624,"http://s3.amazonaws.com/ndnp-batches/mdu_bode_ver03/data/sn83045081/print/1917040801/8692.xml"
18,"http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-08/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-08/ed-1/seq-2/","Der Deutsche correspondent. April 08, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mdu_bode_ver03/data/sn83045081/print/1917040801/8693.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-08/ed-1/seq-2/thumbnail.jpg",4959,6614,"http://s3.amazonaws.com/ndnp-batches/mdu_bode_ver03/data/sn83045081/print/1917040801/8693.xml"
19,"http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-08/ed-1/seq-3/","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-08/ed-1/seq-3/","Der Deutsche correspondent. April 08, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mdu_bode_ver03/data/sn83045081/print/1917040801/8694.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-08/ed-1/seq-3/thumbnail.jpg",5032,6627,"http://s3.amazonaws.com/ndnp-batches/mdu_bode_ver03/data/sn83045081/print/1917040801/8694.xml"
20,"http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-08/ed-1/seq-4/","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-08/ed-1/seq-4/","Der Deutsche correspondent. April 08, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mdu_bode_ver03/data/sn83045081/print/1917040801/8695.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-08/ed-1/seq-4/thumbnail.jpg",5002,6628,"http://s3.amazonaws.com/ndnp-batches/mdu_bode_ver03/data/sn83045081/print/1917040801/8695.xml"
21,"http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-08/ed-1/seq-5/","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-08/ed-1/seq-5/","Der Deutsche correspondent. April 08, 1917. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mdu_bode_ver03/data/sn83045081/print/1917040801/8696.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-08/ed-1/seq-5/thumbnail.jpg",5019,6637,"http://s3.amazonaws.com/ndnp-batches/mdu_bode_ver03/data/sn83045081/print/1917040801/8696.xml"
22,"http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-08/ed-1/seq-6/","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-08/ed-1/seq-6/","Der Deutsche correspondent. April 08, 1917. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mdu_bode_ver03/data/sn83045081/print/1917040801/8697.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-08/ed-1/seq-6/thumbnail.jpg",4985,6626,"http://s3.amazonaws.com/ndnp-batches/mdu_bode_ver03/data/sn83045081/print/1917040801/8697.xml"
23,"http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-08/ed-1/seq-7/","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-08/ed-1/seq-7/","Der Deutsche correspondent. April 08, 1917. Page 7",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mdu_bode_ver03/data/sn83045081/print/1917040801/8698.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-08/ed-1/seq-7/thumbnail.jpg",5008,6632,"http://s3.amazonaws.com/ndnp-batches/mdu_bode_ver03/data/sn83045081/print/1917040801/8698.xml"
24,"http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-08/ed-1/seq-8/","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-08/ed-1/seq-8/","Der Deutsche correspondent. April 08, 1917. Page 8",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mdu_bode_ver03/data/sn83045081/print/1917040801/8699.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-08/ed-1/seq-8/thumbnail.jpg",5029,6678,"http://s3.amazonaws.com/ndnp-batches/mdu_bode_ver03/data/sn83045081/print/1917040801/8699.xml"
25,"http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-08/ed-1/seq-9/","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-08/ed-1/seq-9/","Der Deutsche correspondent. April 08, 1917. Page 9",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mdu_bode_ver03/data/sn83045081/print/1917040801/8700.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045081/1917-04-08/ed-1/seq-9/thumbnail.jpg",4997,6653,"http://s3.amazonaws.com/ndnp-batches/mdu_bode_ver03/data/sn83045081/print/1917040801/8700.xml"
