order,set_key,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-06/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-06/ed-1/seq-1/","The Owosso times. April 06, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917040601/0060.jpg","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-06/ed-1/seq-1/thumbnail.jpg",6456,9138,"http://s3.amazonaws.com/ndnp-batches/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917040601/0060.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-06/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-06/ed-1/seq-2/","The Owosso times. April 06, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917040601/0061.jpg","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-06/ed-1/seq-2/thumbnail.jpg",6464,9250,"http://s3.amazonaws.com/ndnp-batches/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917040601/0061.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-06/ed-1/seq-3/","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-06/ed-1/seq-3/","The Owosso times. April 06, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917040601/0062.jpg","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-06/ed-1/seq-3/thumbnail.jpg",6424,9052,"http://s3.amazonaws.com/ndnp-batches/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917040601/0062.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-06/ed-1/seq-4/","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-06/ed-1/seq-4/","The Owosso times. April 06, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917040601/0063.jpg","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-06/ed-1/seq-4/thumbnail.jpg",6500,9206,"http://s3.amazonaws.com/ndnp-batches/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917040601/0063.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-06/ed-1/seq-5/","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-06/ed-1/seq-5/","The Owosso times. April 06, 1917. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917040601/0064.jpg","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-06/ed-1/seq-5/thumbnail.jpg",6392,9168,"http://s3.amazonaws.com/ndnp-batches/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917040601/0064.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-06/ed-1/seq-6/","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-06/ed-1/seq-6/","The Owosso times. April 06, 1917. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917040601/0065.jpg","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-06/ed-1/seq-6/thumbnail.jpg",6520,9274,"http://s3.amazonaws.com/ndnp-batches/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917040601/0065.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-06/ed-1/seq-7/","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-06/ed-1/seq-7/","The Owosso times. April 06, 1917. Page 7",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917040601/0066.jpg","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-06/ed-1/seq-7/thumbnail.jpg",6472,9133,"http://s3.amazonaws.com/ndnp-batches/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917040601/0066.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-06/ed-1/seq-8/","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-06/ed-1/seq-8/","The Owosso times. April 06, 1917. Page 8",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917040601/0067.jpg","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-06/ed-1/seq-8/thumbnail.jpg",6492,9194,"http://s3.amazonaws.com/ndnp-batches/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917040601/0067.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-13/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-13/ed-1/seq-1/","The Owosso times. April 13, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917041301/0068.jpg","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-13/ed-1/seq-1/thumbnail.jpg",6368,9151,"http://s3.amazonaws.com/ndnp-batches/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917041301/0068.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-13/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-13/ed-1/seq-2/","The Owosso times. April 13, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917041301/0069.jpg","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-13/ed-1/seq-2/thumbnail.jpg",6444,9287,"http://s3.amazonaws.com/ndnp-batches/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917041301/0069.xml"
11,"http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-13/ed-1/seq-3/","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-13/ed-1/seq-3/","The Owosso times. April 13, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917041301/0070.jpg","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-13/ed-1/seq-3/thumbnail.jpg",6556,9161,"http://s3.amazonaws.com/ndnp-batches/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917041301/0070.xml"
12,"http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-13/ed-1/seq-4/","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-13/ed-1/seq-4/","The Owosso times. April 13, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917041301/0072.jpg","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-13/ed-1/seq-4/thumbnail.jpg",6520,9237,"http://s3.amazonaws.com/ndnp-batches/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917041301/0072.xml"
13,"http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-13/ed-1/seq-5/","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-13/ed-1/seq-5/","The Owosso times. April 13, 1917. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917041301/0073.jpg","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-13/ed-1/seq-5/thumbnail.jpg",6304,9077,"http://s3.amazonaws.com/ndnp-batches/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917041301/0073.xml"
14,"http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-13/ed-1/seq-6/","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-13/ed-1/seq-6/","The Owosso times. April 13, 1917. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917041301/0074.jpg","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-13/ed-1/seq-6/thumbnail.jpg",6452,9217,"http://s3.amazonaws.com/ndnp-batches/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917041301/0074.xml"
15,"http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-13/ed-1/seq-7/","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-13/ed-1/seq-7/","The Owosso times. April 13, 1917. Page 7",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917041301/0075.jpg","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-13/ed-1/seq-7/thumbnail.jpg",6404,9274,"http://s3.amazonaws.com/ndnp-batches/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917041301/0075.xml"
16,"http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-13/ed-1/seq-8/","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-13/ed-1/seq-8/","The Owosso times. April 13, 1917. Page 8",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917041301/0076.jpg","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-13/ed-1/seq-8/thumbnail.jpg",6348,9161,"http://s3.amazonaws.com/ndnp-batches/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917041301/0076.xml"
17,"http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-20/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-20/ed-1/seq-1/","The Owosso times. April 20, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917042001/0077.jpg","http://chroniclingamerica.loc.gov/lccn/sn97070614/1917-04-20/ed-1/seq-1/thumbnail.jpg",6512,9045,"http://s3.amazonaws.com/ndnp-batches/mimtptc_evart_ver01/data/sn97070614/0029602370A/1917042001/0077.xml"
