order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-1/","Detroiter Abend-Post. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-1/image_1579x2081.jpg","http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-1/thumbnail.jpg",1579,2081,"http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-2/","Detroiter Abend-Post. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-2/image_1570x2103.jpg","http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-2/thumbnail.jpg",1570,2103,"http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-3/","Detroiter Abend-Post. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-3/image_1560x2086.jpg","http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-3/thumbnail.jpg",1560,2086,"http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-4/","Detroiter Abend-Post. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-4/image_1574x2093.jpg","http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-4/thumbnail.jpg",1574,2093,"http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-5/","Detroiter Abend-Post. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-5/image_1572x2093.jpg","http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-5/thumbnail.jpg",1572,2093,"http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-5/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-6/","Detroiter Abend-Post. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-6/image_1571x2090.jpg","http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-6/thumbnail.jpg",1571,2090,"http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-6/ocr.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-7/","Detroiter Abend-Post. April 07, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-7/image_1576x2099.jpg","http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-7/thumbnail.jpg",1576,2099,"http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-7/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-8/","Detroiter Abend-Post. April 07, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-8/image_1582x2080.jpg","http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-8/thumbnail.jpg",1582,2080,"http://chroniclingamerica.loc.gov/lccn/sn96076572/1917-04-07/ed-1/seq-8/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-1/","The Diamond drill. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-1/image_1602x2249.jpg","http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-1/thumbnail.jpg",1602,2249,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-1/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-2/","The Diamond drill. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-2/image_1591x2243.jpg","http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-2/thumbnail.jpg",1591,2243,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-2/ocr.xml"
11,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-3/","The Diamond drill. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-3/image_1595x2246.jpg","http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-3/thumbnail.jpg",1595,2246,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-3/ocr.xml"
12,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-4/","The Diamond drill. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-4/image_1587x2260.jpg","http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-4/thumbnail.jpg",1587,2260,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-4/ocr.xml"
13,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-5/","The Diamond drill. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-5/image_1596x2248.jpg","http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-5/thumbnail.jpg",1596,2248,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-5/ocr.xml"
14,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-6/","The Diamond drill. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-6/image_1590x2242.jpg","http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-6/thumbnail.jpg",1590,2242,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-6/ocr.xml"
15,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-7/","The Diamond drill. April 07, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-7/image_1591x2253.jpg","http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-7/thumbnail.jpg",1591,2253,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-7/ocr.xml"
16,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-8/","The Diamond drill. April 07, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-8/image_1587x2248.jpg","http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-8/thumbnail.jpg",1587,2248,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-8/ocr.xml"
17,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-9/","The Diamond drill. April 07, 1917. Page 9",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-9/image_1590x2246.jpg","http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-9/thumbnail.jpg",1590,2246,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-9/ocr.xml"
18,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-10/","The Diamond drill. April 07, 1917. Page 10",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-10/image_1588x2250.jpg","http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-10/thumbnail.jpg",1588,2250,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-10/ocr.xml"
19,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-11/","The Diamond drill. April 07, 1917. Page 11",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-11/image_1587x2244.jpg","http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-11/thumbnail.jpg",1587,2244,"http://chroniclingamerica.loc.gov/lccn/sn96076817/1917-04-07/ed-1/seq-11/ocr.xml"
