order,set_key,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-03/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-03/ed-1/seq-1/","The Tomahawk. January 03, 1918. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mnhi_halma_ver01/data/sn89064695/0028076792A/1918010301/0002.jpg","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-03/ed-1/seq-1/thumbnail.jpg",5970,8375,"http://s3.amazonaws.com/ndnp-batches/mnhi_halma_ver01/data/sn89064695/0028076792A/1918010301/0002.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-03/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-03/ed-1/seq-2/","The Tomahawk. January 03, 1918. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mnhi_halma_ver01/data/sn89064695/0028076792A/1918010301/0003.jpg","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-03/ed-1/seq-2/thumbnail.jpg",5877,8268,"http://s3.amazonaws.com/ndnp-batches/mnhi_halma_ver01/data/sn89064695/0028076792A/1918010301/0003.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-03/ed-1/seq-3/","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-03/ed-1/seq-3/","The Tomahawk. January 03, 1918. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mnhi_halma_ver01/data/sn89064695/0028076792A/1918010301/0004.jpg","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-03/ed-1/seq-3/thumbnail.jpg",5828,8246,"http://s3.amazonaws.com/ndnp-batches/mnhi_halma_ver01/data/sn89064695/0028076792A/1918010301/0004.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-03/ed-1/seq-4/","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-03/ed-1/seq-4/","The Tomahawk. January 03, 1918. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mnhi_halma_ver01/data/sn89064695/0028076792A/1918010301/0005.jpg","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-03/ed-1/seq-4/thumbnail.jpg",5812,8276,"http://s3.amazonaws.com/ndnp-batches/mnhi_halma_ver01/data/sn89064695/0028076792A/1918010301/0005.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-03/ed-1/seq-5/","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-03/ed-1/seq-5/","The Tomahawk. January 03, 1918. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mnhi_halma_ver01/data/sn89064695/0028076792A/1918010301/0006.jpg","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-03/ed-1/seq-5/thumbnail.jpg",5872,8276,"http://s3.amazonaws.com/ndnp-batches/mnhi_halma_ver01/data/sn89064695/0028076792A/1918010301/0006.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-03/ed-1/seq-6/","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-03/ed-1/seq-6/","The Tomahawk. January 03, 1918. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mnhi_halma_ver01/data/sn89064695/0028076792A/1918010301/0007.jpg","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-03/ed-1/seq-6/thumbnail.jpg",5924,8276,"http://s3.amazonaws.com/ndnp-batches/mnhi_halma_ver01/data/sn89064695/0028076792A/1918010301/0007.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-03/ed-1/seq-7/","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-03/ed-1/seq-7/","The Tomahawk. January 03, 1918. Page 7",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mnhi_halma_ver01/data/sn89064695/0028076792A/1918010301/0008.jpg","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-03/ed-1/seq-7/thumbnail.jpg",5916,8299,"http://s3.amazonaws.com/ndnp-batches/mnhi_halma_ver01/data/sn89064695/0028076792A/1918010301/0008.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-03/ed-1/seq-8/","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-03/ed-1/seq-8/","The Tomahawk. January 03, 1918. Page 8",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mnhi_halma_ver01/data/sn89064695/0028076792A/1918010301/0009.jpg","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-03/ed-1/seq-8/thumbnail.jpg",6001,8330,"http://s3.amazonaws.com/ndnp-batches/mnhi_halma_ver01/data/sn89064695/0028076792A/1918010301/0009.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-1/","The Tomahawk. January 10, 1918. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mnhi_halma_ver01/data/sn89064695/0028076792A/1918011001/0010.jpg","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-1/thumbnail.jpg",5841,8299,"http://s3.amazonaws.com/ndnp-batches/mnhi_halma_ver01/data/sn89064695/0028076792A/1918011001/0010.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-2/","The Tomahawk. January 10, 1918. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mnhi_halma_ver01/data/sn89064695/0028076792A/1918011001/0011.jpg","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-2/thumbnail.jpg",5862,8322,"http://s3.amazonaws.com/ndnp-batches/mnhi_halma_ver01/data/sn89064695/0028076792A/1918011001/0011.xml"
11,"http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-3/","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-3/","The Tomahawk. January 10, 1918. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mnhi_halma_ver01/data/sn89064695/0028076792A/1918011001/0013.jpg","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-3/thumbnail.jpg",5900,8330,"http://s3.amazonaws.com/ndnp-batches/mnhi_halma_ver01/data/sn89064695/0028076792A/1918011001/0013.xml"
12,"http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-4/","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-4/","The Tomahawk. January 10, 1918. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mnhi_halma_ver01/data/sn89064695/0028076792A/1918011001/0012.jpg","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-4/thumbnail.jpg",5815,8261,"http://s3.amazonaws.com/ndnp-batches/mnhi_halma_ver01/data/sn89064695/0028076792A/1918011001/0012.xml"
13,"http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-5/","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-5/","The Tomahawk. January 10, 1918. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mnhi_halma_ver01/data/sn89064695/0028076792A/1918011001/0014.jpg","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-5/thumbnail.jpg",5844,8253,"http://s3.amazonaws.com/ndnp-batches/mnhi_halma_ver01/data/sn89064695/0028076792A/1918011001/0014.xml"
14,"http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-6/","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-6/","The Tomahawk. January 10, 1918. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mnhi_halma_ver01/data/sn89064695/0028076792A/1918011001/0015.jpg","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-6/thumbnail.jpg",5839,8323,"http://s3.amazonaws.com/ndnp-batches/mnhi_halma_ver01/data/sn89064695/0028076792A/1918011001/0015.xml"
15,"http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-7/","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-7/","The Tomahawk. January 10, 1918. Page 7",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mnhi_halma_ver01/data/sn89064695/0028076792A/1918011001/0016.jpg","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-7/thumbnail.jpg",5819,8315,"http://s3.amazonaws.com/ndnp-batches/mnhi_halma_ver01/data/sn89064695/0028076792A/1918011001/0016.xml"
16,"http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-8/","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-8/","The Tomahawk. January 10, 1918. Page 8",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mnhi_halma_ver01/data/sn89064695/0028076792A/1918011001/0017.jpg","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-8/thumbnail.jpg",5924,8315,"http://s3.amazonaws.com/ndnp-batches/mnhi_halma_ver01/data/sn89064695/0028076792A/1918011001/0017.xml"
17,"http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-9/","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-9/","The Tomahawk. January 10, 1918. Page 9",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mnhi_halma_ver01/data/sn89064695/0028076792A/1918011001/0018.jpg","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-9/thumbnail.jpg",5833,8330,"http://s3.amazonaws.com/ndnp-batches/mnhi_halma_ver01/data/sn89064695/0028076792A/1918011001/0018.xml"
18,"http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-10/","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-10/","The Tomahawk. January 10, 1918. Page 10",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mnhi_halma_ver01/data/sn89064695/0028076792A/1918011001/0019.jpg","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-10/thumbnail.jpg",5956,8345,"http://s3.amazonaws.com/ndnp-batches/mnhi_halma_ver01/data/sn89064695/0028076792A/1918011001/0019.xml"
19,"http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-11/","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-11/","The Tomahawk. January 10, 1918. Page 11",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mnhi_halma_ver01/data/sn89064695/0028076792A/1918011001/0021.jpg","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-10/ed-1/seq-11/thumbnail.jpg",5959,8291,"http://s3.amazonaws.com/ndnp-batches/mnhi_halma_ver01/data/sn89064695/0028076792A/1918011001/0021.xml"
20,"http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-17/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-17/ed-1/seq-1/","The Tomahawk. January 17, 1918. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/mnhi_halma_ver01/data/sn89064695/0028076792A/1918011701/0020.jpg","http://chroniclingamerica.loc.gov/lccn/sn89064695/1918-01-17/ed-1/seq-1/thumbnail.jpg",5941,8323,"http://s3.amazonaws.com/ndnp-batches/mnhi_halma_ver01/data/sn89064695/0028076792A/1918011701/0020.xml"
