order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-1/","The Appeal. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-1/image_1864x2532.jpg","http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-1/thumbnail.jpg",1864,2532,"http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-2/","The Appeal. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-2/image_1848x2571.jpg","http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-2/thumbnail.jpg",1848,2571,"http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-3/","The Appeal. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-3/image_1850x2582.jpg","http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-3/thumbnail.jpg",1850,2582,"http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-4/","The Appeal. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-4/image_1856x2554.jpg","http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-4/thumbnail.jpg",1856,2554,"http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn86063381/1917-04-07/ed-1/seq-1/","The Bemidji daily pioneer. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86063381/1917-04-07/ed-1/seq-1/image_1340x1919.jpg","http://chroniclingamerica.loc.gov/lccn/sn86063381/1917-04-07/ed-1/seq-1/thumbnail.jpg",1340,1919,"http://chroniclingamerica.loc.gov/lccn/sn86063381/1917-04-07/ed-1/seq-1/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn86063381/1917-04-07/ed-1/seq-2/","The Bemidji daily pioneer. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86063381/1917-04-07/ed-1/seq-2/image_1338x1935.jpg","http://chroniclingamerica.loc.gov/lccn/sn86063381/1917-04-07/ed-1/seq-2/thumbnail.jpg",1338,1935,"http://chroniclingamerica.loc.gov/lccn/sn86063381/1917-04-07/ed-1/seq-2/ocr.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn86063381/1917-04-07/ed-1/seq-3/","The Bemidji daily pioneer. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86063381/1917-04-07/ed-1/seq-3/image_1337x1915.jpg","http://chroniclingamerica.loc.gov/lccn/sn86063381/1917-04-07/ed-1/seq-3/thumbnail.jpg",1337,1915,"http://chroniclingamerica.loc.gov/lccn/sn86063381/1917-04-07/ed-1/seq-3/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn86063381/1917-04-07/ed-1/seq-4/","The Bemidji daily pioneer. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86063381/1917-04-07/ed-1/seq-4/image_1352x1931.jpg","http://chroniclingamerica.loc.gov/lccn/sn86063381/1917-04-07/ed-1/seq-4/thumbnail.jpg",1352,1931,"http://chroniclingamerica.loc.gov/lccn/sn86063381/1917-04-07/ed-1/seq-4/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn78000395/1917-04-07/ed-1/seq-1/","The labor world. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn78000395/1917-04-07/ed-1/seq-1/image_1690x2217.jpg","http://chroniclingamerica.loc.gov/lccn/sn78000395/1917-04-07/ed-1/seq-1/thumbnail.jpg",1690,2217,"http://chroniclingamerica.loc.gov/lccn/sn78000395/1917-04-07/ed-1/seq-1/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn78000395/1917-04-07/ed-1/seq-2/","The labor world. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn78000395/1917-04-07/ed-1/seq-2/image_1720x2234.jpg","http://chroniclingamerica.loc.gov/lccn/sn78000395/1917-04-07/ed-1/seq-2/thumbnail.jpg",1720,2234,"http://chroniclingamerica.loc.gov/lccn/sn78000395/1917-04-07/ed-1/seq-2/ocr.xml"
11,"http://chroniclingamerica.loc.gov/lccn/sn78000395/1917-04-07/ed-1/seq-3/","The labor world. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn78000395/1917-04-07/ed-1/seq-3/image_1690x2224.jpg","http://chroniclingamerica.loc.gov/lccn/sn78000395/1917-04-07/ed-1/seq-3/thumbnail.jpg",1690,2224,"http://chroniclingamerica.loc.gov/lccn/sn78000395/1917-04-07/ed-1/seq-3/ocr.xml"
12,"http://chroniclingamerica.loc.gov/lccn/sn78000395/1917-04-07/ed-1/seq-4/","The labor world. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn78000395/1917-04-07/ed-1/seq-4/image_1730x2236.jpg","http://chroniclingamerica.loc.gov/lccn/sn78000395/1917-04-07/ed-1/seq-4/thumbnail.jpg",1730,2236,"http://chroniclingamerica.loc.gov/lccn/sn78000395/1917-04-07/ed-1/seq-4/ocr.xml"
13,"http://chroniclingamerica.loc.gov/lccn/sn78000395/1917-04-07/ed-1/seq-5/","The labor world. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn78000395/1917-04-07/ed-1/seq-5/image_1691x2226.jpg","http://chroniclingamerica.loc.gov/lccn/sn78000395/1917-04-07/ed-1/seq-5/thumbnail.jpg",1691,2226,"http://chroniclingamerica.loc.gov/lccn/sn78000395/1917-04-07/ed-1/seq-5/ocr.xml"
14,"http://chroniclingamerica.loc.gov/lccn/sn78000395/1917-04-07/ed-1/seq-6/","The labor world. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn78000395/1917-04-07/ed-1/seq-6/image_1718x2224.jpg","http://chroniclingamerica.loc.gov/lccn/sn78000395/1917-04-07/ed-1/seq-6/thumbnail.jpg",1718,2224,"http://chroniclingamerica.loc.gov/lccn/sn78000395/1917-04-07/ed-1/seq-6/ocr.xml"
