order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn87052181/1917-04-07/ed-1/seq-1/","Fair play. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87052181/1917-04-07/ed-1/seq-1/image_1223x1603.jpg","http://chroniclingamerica.loc.gov/lccn/sn87052181/1917-04-07/ed-1/seq-1/thumbnail.jpg",1223,1603,"http://chroniclingamerica.loc.gov/lccn/sn87052181/1917-04-07/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn87052181/1917-04-07/ed-1/seq-2/","Fair play. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87052181/1917-04-07/ed-1/seq-2/image_1196x1585.jpg","http://chroniclingamerica.loc.gov/lccn/sn87052181/1917-04-07/ed-1/seq-2/thumbnail.jpg",1196,1585,"http://chroniclingamerica.loc.gov/lccn/sn87052181/1917-04-07/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn87052181/1917-04-07/ed-1/seq-3/","Fair play. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87052181/1917-04-07/ed-1/seq-3/image_1193x1596.jpg","http://chroniclingamerica.loc.gov/lccn/sn87052181/1917-04-07/ed-1/seq-3/thumbnail.jpg",1193,1596,"http://chroniclingamerica.loc.gov/lccn/sn87052181/1917-04-07/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn87052181/1917-04-07/ed-1/seq-4/","Fair play. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87052181/1917-04-07/ed-1/seq-4/image_1211x1595.jpg","http://chroniclingamerica.loc.gov/lccn/sn87052181/1917-04-07/ed-1/seq-4/thumbnail.jpg",1211,1595,"http://chroniclingamerica.loc.gov/lccn/sn87052181/1917-04-07/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn87052181/1917-04-07/ed-1/seq-5/","Fair play. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87052181/1917-04-07/ed-1/seq-5/image_1185x1591.jpg","http://chroniclingamerica.loc.gov/lccn/sn87052181/1917-04-07/ed-1/seq-5/thumbnail.jpg",1185,1591,"http://chroniclingamerica.loc.gov/lccn/sn87052181/1917-04-07/ed-1/seq-5/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn87052181/1917-04-07/ed-1/seq-6/","Fair play. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87052181/1917-04-07/ed-1/seq-6/image_1185x1571.jpg","http://chroniclingamerica.loc.gov/lccn/sn87052181/1917-04-07/ed-1/seq-6/thumbnail.jpg",1185,1571,"http://chroniclingamerica.loc.gov/lccn/sn87052181/1917-04-07/ed-1/seq-6/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn89066178/1917-04-07/ed-1/seq-2/","The menace. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn89066178/1917-04-07/ed-1/seq-2/image_1245x1828.jpg","http://chroniclingamerica.loc.gov/lccn/sn89066178/1917-04-07/ed-1/seq-2/thumbnail.jpg",1245,1828,"http://chroniclingamerica.loc.gov/lccn/sn89066178/1917-04-07/ed-1/seq-2/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn89066178/1917-04-07/ed-1/seq-3/","The menace. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn89066178/1917-04-07/ed-1/seq-3/image_1240x1821.jpg","http://chroniclingamerica.loc.gov/lccn/sn89066178/1917-04-07/ed-1/seq-3/thumbnail.jpg",1240,1821,"http://chroniclingamerica.loc.gov/lccn/sn89066178/1917-04-07/ed-1/seq-3/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn89066178/1917-04-07/ed-1/seq-4/","The menace. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn89066178/1917-04-07/ed-1/seq-4/image_1248x1846.jpg","http://chroniclingamerica.loc.gov/lccn/sn89066178/1917-04-07/ed-1/seq-4/thumbnail.jpg",1248,1846,"http://chroniclingamerica.loc.gov/lccn/sn89066178/1917-04-07/ed-1/seq-4/ocr.xml"
11,"http://chroniclingamerica.loc.gov/lccn/sn89066234/1917-04-07/ed-1/seq-1/","Scott County kicker. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn89066234/1917-04-07/ed-1/seq-1/image_1276x1729.jpg","http://chroniclingamerica.loc.gov/lccn/sn89066234/1917-04-07/ed-1/seq-1/thumbnail.jpg",1276,1729,"http://chroniclingamerica.loc.gov/lccn/sn89066234/1917-04-07/ed-1/seq-1/ocr.xml"
