order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-04-26/ed-1/seq-1/","The producers news. April 26, 1918. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-04-26/ed-1/seq-1/image_1694x2550.jpg","http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-04-26/ed-1/seq-1/thumbnail.jpg",1694,2550,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-04-26/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-04-26/ed-1/seq-2/","The producers news. April 26, 1918. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-04-26/ed-1/seq-2/image_1728x2592.jpg","http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-04-26/ed-1/seq-2/thumbnail.jpg",1728,2592,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-04-26/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-04-26/ed-1/seq-3/","The producers news. April 26, 1918. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-04-26/ed-1/seq-3/image_1664x2558.jpg","http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-04-26/ed-1/seq-3/thumbnail.jpg",1664,2558,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-04-26/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-04-26/ed-1/seq-4/","The producers news. April 26, 1918. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-04-26/ed-1/seq-4/image_1632x2588.jpg","http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-04-26/ed-1/seq-4/thumbnail.jpg",1632,2588,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-04-26/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-04-26/ed-1/seq-5/","The producers news. April 26, 1918. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-04-26/ed-1/seq-5/image_1700x2550.jpg","http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-04-26/ed-1/seq-5/thumbnail.jpg",1700,2550,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-04-26/ed-1/seq-5/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-04-26/ed-1/seq-6/","The producers news. April 26, 1918. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-04-26/ed-1/seq-6/image_1642x2608.jpg","http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-04-26/ed-1/seq-6/thumbnail.jpg",1642,2608,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-04-26/ed-1/seq-6/ocr.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-05-03/ed-1/seq-1/","The producers news. May 03, 1918. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-05-03/ed-1/seq-1/image_1654x2538.jpg","http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-05-03/ed-1/seq-1/thumbnail.jpg",1654,2538,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-05-03/ed-1/seq-1/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-05-03/ed-1/seq-2/","The producers news. May 03, 1918. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-05-03/ed-1/seq-2/image_1642x2588.jpg","http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-05-03/ed-1/seq-2/thumbnail.jpg",1642,2588,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-05-03/ed-1/seq-2/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-05-03/ed-1/seq-5/","The producers news. May 03, 1918. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-05-03/ed-1/seq-5/image_1642x2516.jpg","http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-05-03/ed-1/seq-5/thumbnail.jpg",1642,2516,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-05-03/ed-1/seq-5/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-05-03/ed-1/seq-6/","The producers news. May 03, 1918. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-05-03/ed-1/seq-6/image_1634x2604.jpg","http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-05-03/ed-1/seq-6/thumbnail.jpg",1634,2604,"http://chroniclingamerica.loc.gov/lccn/sn85053305/1918-05-03/ed-1/seq-6/ocr.xml"
