order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-1/","The Butte daily post. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-1/image_1106x1452.jpg","http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-1/thumbnail.jpg",1106,1452,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-2/","The Butte daily post. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-2/image_1084x1450.jpg","http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-2/thumbnail.jpg",1084,1450,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-3/","The Butte daily post. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-3/image_1114x1446.jpg","http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-3/thumbnail.jpg",1114,1446,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-4/","The Butte daily post. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-4/image_1084x1450.jpg","http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-4/thumbnail.jpg",1084,1450,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-5/","The Butte daily post. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-5/image_1114x1448.jpg","http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-5/thumbnail.jpg",1114,1448,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-5/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-6/","The Butte daily post. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-6/image_1082x1450.jpg","http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-6/thumbnail.jpg",1082,1450,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-6/ocr.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-7/","The Butte daily post. April 07, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-7/image_1110x1448.jpg","http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-7/thumbnail.jpg",1110,1448,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-7/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-8/","The Butte daily post. April 07, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-8/image_1092x1450.jpg","http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-8/thumbnail.jpg",1092,1450,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-8/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-9/","The Butte daily post. April 07, 1917. Page 9",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-9/image_1102x1444.jpg","http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-9/thumbnail.jpg",1102,1444,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-9/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-10/","The Butte daily post. April 07, 1917. Page 10",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-10/image_1086x1446.jpg","http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-10/thumbnail.jpg",1086,1446,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-10/ocr.xml"
11,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-11/","The Butte daily post. April 07, 1917. Page 11",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-11/image_1110x1450.jpg","http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-11/thumbnail.jpg",1110,1450,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-11/ocr.xml"
12,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-12/","The Butte daily post. April 07, 1917. Page 12",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-12/image_1088x1450.jpg","http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-12/thumbnail.jpg",1088,1450,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-12/ocr.xml"
13,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-13/","The Butte daily post. April 07, 1917. Page 13",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-13/image_1110x1448.jpg","http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-13/thumbnail.jpg",1110,1448,"http://chroniclingamerica.loc.gov/lccn/sn85053058/1917-04-07/ed-1/seq-13/ocr.xml"
