order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn86076142/1918-05-11/ed-1/seq-1/","Tonopah daily bonanza. May 11, 1918. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nvln_fallon_ver01/data/sn86076142/0041562704A/1918051101/0439.jpg","http://chroniclingamerica.loc.gov/lccn/sn86076142/1918-05-11/ed-1/seq-1/thumbnail.jpg",4456,6401,"http://s3.amazonaws.com/ndnp-batches/nvln_fallon_ver01/data/sn86076142/0041562704A/1918051101/0439.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn86076142/1918-05-11/ed-1/seq-2/","Tonopah daily bonanza. May 11, 1918. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nvln_fallon_ver01/data/sn86076142/0041562704A/1918051101/0440.jpg","http://chroniclingamerica.loc.gov/lccn/sn86076142/1918-05-11/ed-1/seq-2/thumbnail.jpg",4480,6418,"http://s3.amazonaws.com/ndnp-batches/nvln_fallon_ver01/data/sn86076142/0041562704A/1918051101/0440.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn86076142/1918-05-11/ed-1/seq-3/","Tonopah daily bonanza. May 11, 1918. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nvln_fallon_ver01/data/sn86076142/0041562704A/1918051101/0441.jpg","http://chroniclingamerica.loc.gov/lccn/sn86076142/1918-05-11/ed-1/seq-3/thumbnail.jpg",4512,6357,"http://s3.amazonaws.com/ndnp-batches/nvln_fallon_ver01/data/sn86076142/0041562704A/1918051101/0441.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn86076142/1918-05-11/ed-1/seq-4/","Tonopah daily bonanza. May 11, 1918. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nvln_fallon_ver01/data/sn86076142/0041562704A/1918051101/0442.jpg","http://chroniclingamerica.loc.gov/lccn/sn86076142/1918-05-11/ed-1/seq-4/thumbnail.jpg",4488,6405,"http://s3.amazonaws.com/ndnp-batches/nvln_fallon_ver01/data/sn86076142/0041562704A/1918051101/0442.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn86076241/1917-04-07/ed-1/seq-1/","Carson City daily appeal. April 07, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nvln_jackrabbit_ver01/data/sn86076241/00271762380/1917040701/0320.jpg","http://chroniclingamerica.loc.gov/lccn/sn86076241/1917-04-07/ed-1/seq-1/thumbnail.jpg",5520,7684,"http://s3.amazonaws.com/ndnp-batches/nvln_jackrabbit_ver01/data/sn86076241/00271762380/1917040701/0320.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn86076241/1917-04-07/ed-1/seq-2/","Carson City daily appeal. April 07, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nvln_jackrabbit_ver01/data/sn86076241/00271762380/1917040701/0321.jpg","http://chroniclingamerica.loc.gov/lccn/sn86076241/1917-04-07/ed-1/seq-2/thumbnail.jpg",5504,7714,"http://s3.amazonaws.com/ndnp-batches/nvln_jackrabbit_ver01/data/sn86076241/00271762380/1917040701/0321.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn86076241/1917-04-07/ed-1/seq-3/","Carson City daily appeal. April 07, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nvln_jackrabbit_ver01/data/sn86076241/00271762380/1917040701/0322.jpg","http://chroniclingamerica.loc.gov/lccn/sn86076241/1917-04-07/ed-1/seq-3/thumbnail.jpg",5584,7690,"http://s3.amazonaws.com/ndnp-batches/nvln_jackrabbit_ver01/data/sn86076241/00271762380/1917040701/0322.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn86076241/1917-04-07/ed-1/seq-4/","Carson City daily appeal. April 07, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nvln_jackrabbit_ver01/data/sn86076241/00271762380/1917040701/0323.jpg","http://chroniclingamerica.loc.gov/lccn/sn86076241/1917-04-07/ed-1/seq-4/thumbnail.jpg",5372,7750,"http://s3.amazonaws.com/ndnp-batches/nvln_jackrabbit_ver01/data/sn86076241/00271762380/1917040701/0323.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn86076241/1917-04-09/ed-1/seq-1/","Carson City daily appeal. April 09, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nvln_jackrabbit_ver01/data/sn86076241/00271762380/1917040901/0324.jpg","http://chroniclingamerica.loc.gov/lccn/sn86076241/1917-04-09/ed-1/seq-1/thumbnail.jpg",5400,7702,"http://s3.amazonaws.com/ndnp-batches/nvln_jackrabbit_ver01/data/sn86076241/00271762380/1917040901/0324.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn86076241/1917-04-09/ed-1/seq-2/","Carson City daily appeal. April 09, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/nvln_jackrabbit_ver01/data/sn86076241/00271762380/1917040901/0325.jpg","http://chroniclingamerica.loc.gov/lccn/sn86076241/1917-04-09/ed-1/seq-2/thumbnail.jpg",5448,7647,"http://s3.amazonaws.com/ndnp-batches/nvln_jackrabbit_ver01/data/sn86076241/00271762380/1917040901/0325.xml"
