order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-1/","Albuquerque morning journal. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-1/image_1233x1683.jpg","http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-1/thumbnail.jpg",1233,1683,"http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-2/","Albuquerque morning journal. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-2/image_1237x1685.jpg","http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-2/thumbnail.jpg",1237,1685,"http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-3/","Albuquerque morning journal. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-3/image_1224x1682.jpg","http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-3/thumbnail.jpg",1224,1682,"http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-4/","Albuquerque morning journal. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-4/image_1251x1688.jpg","http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-4/thumbnail.jpg",1251,1688,"http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-5/","Albuquerque morning journal. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-5/image_1224x1685.jpg","http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-5/thumbnail.jpg",1224,1685,"http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-5/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-6/","Albuquerque morning journal. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-6/image_1238x1683.jpg","http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-6/thumbnail.jpg",1238,1683,"http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-6/ocr.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-7/","Albuquerque morning journal. April 07, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-7/image_1224x1676.jpg","http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-7/thumbnail.jpg",1224,1676,"http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-7/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-8/","Albuquerque morning journal. April 07, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-8/image_1246x1695.jpg","http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-8/thumbnail.jpg",1246,1695,"http://chroniclingamerica.loc.gov/lccn/sn84031081/1917-04-07/ed-1/seq-8/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-1/","The Clayton news. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-1/image_1013x1486.jpg","http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-1/thumbnail.jpg",1013,1486,"http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-1/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-2/","The Clayton news. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-2/image_985x1484.jpg","http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-2/thumbnail.jpg",985,1484,"http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-2/ocr.xml"
11,"http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-3/","The Clayton news. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-3/image_995x1477.jpg","http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-3/thumbnail.jpg",995,1477,"http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-3/ocr.xml"
12,"http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-4/","The Clayton news. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-4/image_1001x1481.jpg","http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-4/thumbnail.jpg",1001,1481,"http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-4/ocr.xml"
13,"http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-5/","The Clayton news. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-5/image_978x1475.jpg","http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-5/thumbnail.jpg",978,1475,"http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-5/ocr.xml"
14,"http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-6/","The Clayton news. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-6/image_1005x1492.jpg","http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-6/thumbnail.jpg",1005,1492,"http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-6/ocr.xml"
15,"http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-7/","The Clayton news. April 07, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-7/image_1006x1485.jpg","http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-7/thumbnail.jpg",1006,1485,"http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-7/ocr.xml"
16,"http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-8/","The Clayton news. April 07, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-8/image_1010x1497.jpg","http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-8/thumbnail.jpg",1010,1497,"http://chroniclingamerica.loc.gov/lccn/sn93061573/1917-04-07/ed-1/seq-8/ocr.xml"
17,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-1/","The evening herald. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-1/image_1178x1571.jpg","http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-1/thumbnail.jpg",1178,1571,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-1/ocr.xml"
18,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-2/","The evening herald. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-2/image_1186x1565.jpg","http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-2/thumbnail.jpg",1186,1565,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-2/ocr.xml"
19,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-3/","The evening herald. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-3/image_1214x1575.jpg","http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-3/thumbnail.jpg",1214,1575,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-3/ocr.xml"
20,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-4/","The evening herald. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-4/image_1231x1573.jpg","http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-4/thumbnail.jpg",1231,1573,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-4/ocr.xml"
21,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-5/","The evening herald. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-5/image_1227x1558.jpg","http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-5/thumbnail.jpg",1227,1558,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-5/ocr.xml"
22,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-6/","The evening herald. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-6/image_1227x1578.jpg","http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-6/thumbnail.jpg",1227,1578,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-6/ocr.xml"
23,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-7/","The evening herald. April 07, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-7/image_1211x1568.jpg","http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-7/thumbnail.jpg",1211,1568,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-7/ocr.xml"
24,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-8/","The evening herald. April 07, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-8/image_1230x1578.jpg","http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-8/thumbnail.jpg",1230,1578,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-8/ocr.xml"
25,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-9/","The evening herald. April 07, 1917. Page 9",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-9/image_1203x1581.jpg","http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-9/thumbnail.jpg",1203,1581,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-9/ocr.xml"
26,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-10/","The evening herald. April 07, 1917. Page 10",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-10/image_1228x1585.jpg","http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-10/thumbnail.jpg",1228,1585,"http://chroniclingamerica.loc.gov/lccn/sn92070582/1917-04-07/ed-1/seq-10/ocr.xml"
27,"http://chroniclingamerica.loc.gov/lccn/sn92061524/1917-04-07/ed-1/seq-1/","The Spanish American. volume April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn92061524/1917-04-07/ed-1/seq-1/image_1173x1790.jpg","http://chroniclingamerica.loc.gov/lccn/sn92061524/1917-04-07/ed-1/seq-1/thumbnail.jpg",1173,1790,"http://chroniclingamerica.loc.gov/lccn/sn92061524/1917-04-07/ed-1/seq-1/ocr.xml"
