order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-1/","The evening world. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-1/image_1346x1573.jpg","http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-1/thumbnail.jpg",1346,1573,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-2/","The evening world. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-2/image_1347x1559.jpg","http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-2/thumbnail.jpg",1347,1559,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-3/","The evening world. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-3/image_1351x1574.jpg","http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-3/thumbnail.jpg",1351,1574,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-4/","The evening world. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-4/image_1336x1582.jpg","http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-4/thumbnail.jpg",1336,1582,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-5/","The evening world. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-5/image_1363x1566.jpg","http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-5/thumbnail.jpg",1363,1566,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-5/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-6/","The evening world. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-6/image_1336x1567.jpg","http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-6/thumbnail.jpg",1336,1567,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-6/ocr.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-7/","The evening world. April 07, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-7/image_1361x1585.jpg","http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-7/thumbnail.jpg",1361,1585,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-7/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-8/","The evening world. April 07, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-8/image_1341x1566.jpg","http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-8/thumbnail.jpg",1341,1566,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-8/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-9/","The evening world. April 07, 1917. Page 9",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-9/image_1351x1569.jpg","http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-9/thumbnail.jpg",1351,1569,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-9/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-10/","The evening world. April 07, 1917. Page 10",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-10/image_1345x1582.jpg","http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-10/thumbnail.jpg",1345,1582,"http://chroniclingamerica.loc.gov/lccn/sn83030193/1917-04-07/ed-1/seq-10/ocr.xml"
