order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-1/","The Bismarck tribune. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-1/image_1534x2028.jpg","http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-1/thumbnail.jpg",1534,2028,"http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-2/","The Bismarck tribune. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-2/image_1537x2037.jpg","http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-2/thumbnail.jpg",1537,2037,"http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-3/","The Bismarck tribune. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-3/image_1548x2029.jpg","http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-3/thumbnail.jpg",1548,2029,"http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-4/","The Bismarck tribune. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-4/image_1542x2042.jpg","http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-4/thumbnail.jpg",1542,2042,"http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-5/","The Bismarck tribune. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-5/image_1530x2035.jpg","http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-5/thumbnail.jpg",1530,2035,"http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-5/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-6/","The Bismarck tribune. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-6/image_1539x2028.jpg","http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-6/thumbnail.jpg",1539,2028,"http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-6/ocr.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-7/","The Bismarck tribune. April 07, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-7/image_1530x2032.jpg","http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-7/thumbnail.jpg",1530,2032,"http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-7/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-8/","The Bismarck tribune. April 07, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-8/image_1542x2030.jpg","http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-8/thumbnail.jpg",1542,2030,"http://chroniclingamerica.loc.gov/lccn/sn85042243/1917-04-07/ed-1/seq-8/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn85042414/1917-04-07/ed-1/seq-1/","Grand Forks herald. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85042414/1917-04-07/ed-1/seq-1/image_1287x1769.jpg","http://chroniclingamerica.loc.gov/lccn/sn85042414/1917-04-07/ed-1/seq-1/thumbnail.jpg",1287,1769,"http://chroniclingamerica.loc.gov/lccn/sn85042414/1917-04-07/ed-1/seq-1/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn85042414/1917-04-07/ed-1/seq-2/","Grand Forks herald. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85042414/1917-04-07/ed-1/seq-2/image_1259x1775.jpg","http://chroniclingamerica.loc.gov/lccn/sn85042414/1917-04-07/ed-1/seq-2/thumbnail.jpg",1259,1775,"http://chroniclingamerica.loc.gov/lccn/sn85042414/1917-04-07/ed-1/seq-2/ocr.xml"
