order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-1/","The Democratic banner. April 06, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-1/image_1311x1585.jpg","http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-1/thumbnail.jpg",1311,1585,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-2/","The Democratic banner. April 06, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-2/image_1295x1630.jpg","http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-2/thumbnail.jpg",1295,1630,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-3/","The Democratic banner. April 06, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-3/image_1322x1607.jpg","http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-3/thumbnail.jpg",1322,1607,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-4/","The Democratic banner. April 06, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-4/image_1299x1636.jpg","http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-4/thumbnail.jpg",1299,1636,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-5/","The Democratic banner. April 06, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-5/image_1319x1614.jpg","http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-5/thumbnail.jpg",1319,1614,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-5/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-6/","The Democratic banner. April 06, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-6/image_1315x1620.jpg","http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-6/thumbnail.jpg",1315,1620,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-6/ocr.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-7/","The Democratic banner. April 06, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-7/image_1332x1607.jpg","http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-7/thumbnail.jpg",1332,1607,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-7/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-8/","The Democratic banner. April 06, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-8/image_1311x1621.jpg","http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-8/thumbnail.jpg",1311,1621,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-06/ed-1/seq-8/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-10/ed-1/seq-1/","The Democratic banner. April 10, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-10/ed-1/seq-1/image_1311x1613.jpg","http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-10/ed-1/seq-1/thumbnail.jpg",1311,1613,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-10/ed-1/seq-1/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-10/ed-1/seq-2/","The Democratic banner. April 10, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-10/ed-1/seq-2/image_1312x1625.jpg","http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-10/ed-1/seq-2/thumbnail.jpg",1312,1625,"http://chroniclingamerica.loc.gov/lccn/sn88078751/1917-04-10/ed-1/seq-2/ocr.xml"
