order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-1/","The labor advocate. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-1/image_977x1375.jpg","http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-1/thumbnail.jpg",977,1375,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-2/","The labor advocate. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-2/image_970x1392.jpg","http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-2/thumbnail.jpg",970,1392,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-3/","The labor advocate. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-3/image_1000x1390.jpg","http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-3/thumbnail.jpg",1000,1390,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-4/","The labor advocate. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-4/image_983x1379.jpg","http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-4/thumbnail.jpg",983,1379,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-5/","The labor advocate. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-5/image_999x1391.jpg","http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-5/thumbnail.jpg",999,1391,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-5/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-6/","The labor advocate. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-6/image_995x1382.jpg","http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-6/thumbnail.jpg",995,1382,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-6/ocr.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-7/","The labor advocate. April 07, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-7/image_998x1379.jpg","http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-7/thumbnail.jpg",998,1379,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-7/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-8/","The labor advocate. April 07, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-8/image_983x1388.jpg","http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-8/thumbnail.jpg",983,1388,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-8/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-9/","The labor advocate. April 07, 1917. Page 9",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-9/image_998x1385.jpg","http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-9/thumbnail.jpg",998,1385,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-9/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-10/","The labor advocate. April 07, 1917. Page 10",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-10/image_997x1404.jpg","http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-10/thumbnail.jpg",997,1404,"http://chroniclingamerica.loc.gov/lccn/sn88077379/1917-04-07/ed-1/seq-10/ocr.xml"
