order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-1/","The Chickasha daily express. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-1/image_1288x1667.jpg","http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-1/thumbnail.jpg",1288,1667,"http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-2/","The Chickasha daily express. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-2/image_1275x1664.jpg","http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-2/thumbnail.jpg",1275,1664,"http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-3/","The Chickasha daily express. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-3/image_1256x1666.jpg","http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-3/thumbnail.jpg",1256,1666,"http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-4/","The Chickasha daily express. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-4/image_1273x1659.jpg","http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-4/thumbnail.jpg",1273,1659,"http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-5/","The Chickasha daily express. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-5/image_1256x1666.jpg","http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-5/thumbnail.jpg",1256,1666,"http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-5/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-6/","The Chickasha daily express. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-6/image_1269x1667.jpg","http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-6/thumbnail.jpg",1269,1667,"http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-6/ocr.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-7/","The Chickasha daily express. April 07, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-7/image_1260x1675.jpg","http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-7/thumbnail.jpg",1260,1675,"http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-7/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-8/","The Chickasha daily express. April 07, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-8/image_1284x1662.jpg","http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-8/thumbnail.jpg",1284,1662,"http://chroniclingamerica.loc.gov/lccn/sn86090528/1917-04-07/ed-1/seq-8/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn86063952/1917-04-07/ed-1/seq-1/","The Guthrie daily leader. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86063952/1917-04-07/ed-1/seq-1/image_1147x1609.jpg","http://chroniclingamerica.loc.gov/lccn/sn86063952/1917-04-07/ed-1/seq-1/thumbnail.jpg",1147,1609,"http://chroniclingamerica.loc.gov/lccn/sn86063952/1917-04-07/ed-1/seq-1/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn86063952/1917-04-07/ed-1/seq-2/","The Guthrie daily leader. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn86063952/1917-04-07/ed-1/seq-2/image_1162x1643.jpg","http://chroniclingamerica.loc.gov/lccn/sn86063952/1917-04-07/ed-1/seq-2/thumbnail.jpg",1162,1643,"http://chroniclingamerica.loc.gov/lccn/sn86063952/1917-04-07/ed-1/seq-2/ocr.xml"
