order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-1/","Daily capital journal. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-1/image_1243x1600.jpg","http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-1/thumbnail.jpg",1243,1600,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-2/","Daily capital journal. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-2/image_1233x1605.jpg","http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-2/thumbnail.jpg",1233,1605,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-3/","Daily capital journal. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-3/image_1234x1599.jpg","http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-3/thumbnail.jpg",1234,1599,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-4/","Daily capital journal. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-4/image_1222x1597.jpg","http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-4/thumbnail.jpg",1222,1597,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-5/","Daily capital journal. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-5/image_1235x1596.jpg","http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-5/thumbnail.jpg",1235,1596,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-5/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-6/","Daily capital journal. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-6/image_1233x1593.jpg","http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-6/thumbnail.jpg",1233,1593,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-6/ocr.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-7/","Daily capital journal. April 07, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-7/image_1227x1591.jpg","http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-7/thumbnail.jpg",1227,1591,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-7/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-8/","Daily capital journal. April 07, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-8/image_1225x1594.jpg","http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-8/thumbnail.jpg",1225,1594,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-8/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-9/","Daily capital journal. April 07, 1917. Page 9",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-9/image_1234x1594.jpg","http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-9/thumbnail.jpg",1234,1594,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-9/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-10/","Daily capital journal. April 07, 1917. Page 10",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-10/image_1206x1605.jpg","http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-10/thumbnail.jpg",1206,1605,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-10/ocr.xml"
11,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-11/","Daily capital journal. April 07, 1917. Page 11",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-11/image_1235x1600.jpg","http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-11/thumbnail.jpg",1235,1600,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-11/ocr.xml"
12,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-12/","Daily capital journal. April 07, 1917. Page 12",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-12/image_1214x1603.jpg","http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-12/thumbnail.jpg",1214,1603,"http://chroniclingamerica.loc.gov/lccn/sn99063957/1917-04-07/ed-1/seq-12/ocr.xml"
13,"http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-1/","East Oregonian : E.O. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-1/image_1131x1389.jpg","http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-1/thumbnail.jpg",1131,1389,"http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-1/ocr.xml"
14,"http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-2/","East Oregonian : E.O. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-2/image_1117x1371.jpg","http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-2/thumbnail.jpg",1117,1371,"http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-2/ocr.xml"
15,"http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-3/","East Oregonian : E.O. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-3/image_1141x1395.jpg","http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-3/thumbnail.jpg",1141,1395,"http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-3/ocr.xml"
16,"http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-4/","East Oregonian : E.O. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-4/image_1120x1379.jpg","http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-4/thumbnail.jpg",1120,1379,"http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-4/ocr.xml"
17,"http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-5/","East Oregonian : E.O. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-5/image_1126x1400.jpg","http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-5/thumbnail.jpg",1126,1400,"http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-5/ocr.xml"
18,"http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-6/","East Oregonian : E.O. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-6/image_1148x1384.jpg","http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-6/thumbnail.jpg",1148,1384,"http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-6/ocr.xml"
19,"http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-7/","East Oregonian : E.O. April 07, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-7/image_1137x1387.jpg","http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-7/thumbnail.jpg",1137,1387,"http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-7/ocr.xml"
20,"http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-8/","East Oregonian : E.O. April 07, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-8/image_1150x1380.jpg","http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-8/thumbnail.jpg",1150,1380,"http://chroniclingamerica.loc.gov/lccn/sn88086023/1917-04-07/ed-1/seq-8/ocr.xml"
21,"http://chroniclingamerica.loc.gov/lccn/sn99063812/1917-04-07/ed-1/seq-1/","The Evening herald. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn99063812/1917-04-07/ed-1/seq-1/image_1158x1527.jpg","http://chroniclingamerica.loc.gov/lccn/sn99063812/1917-04-07/ed-1/seq-1/thumbnail.jpg",1158,1527,"http://chroniclingamerica.loc.gov/lccn/sn99063812/1917-04-07/ed-1/seq-1/ocr.xml"
22,"http://chroniclingamerica.loc.gov/lccn/sn99063812/1917-04-07/ed-1/seq-2/","The Evening herald. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn99063812/1917-04-07/ed-1/seq-2/image_1169x1523.jpg","http://chroniclingamerica.loc.gov/lccn/sn99063812/1917-04-07/ed-1/seq-2/thumbnail.jpg",1169,1523,"http://chroniclingamerica.loc.gov/lccn/sn99063812/1917-04-07/ed-1/seq-2/ocr.xml"
23,"http://chroniclingamerica.loc.gov/lccn/sn99063812/1917-04-07/ed-1/seq-3/","The Evening herald. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn99063812/1917-04-07/ed-1/seq-3/image_1167x1523.jpg","http://chroniclingamerica.loc.gov/lccn/sn99063812/1917-04-07/ed-1/seq-3/thumbnail.jpg",1167,1523,"http://chroniclingamerica.loc.gov/lccn/sn99063812/1917-04-07/ed-1/seq-3/ocr.xml"
24,"http://chroniclingamerica.loc.gov/lccn/sn99063812/1917-04-07/ed-1/seq-4/","The Evening herald. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn99063812/1917-04-07/ed-1/seq-4/image_1167x1530.jpg","http://chroniclingamerica.loc.gov/lccn/sn99063812/1917-04-07/ed-1/seq-4/thumbnail.jpg",1167,1530,"http://chroniclingamerica.loc.gov/lccn/sn99063812/1917-04-07/ed-1/seq-4/ocr.xml"
