order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-1/","Evening public ledger. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-1/image_1304x1694.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-1/thumbnail.jpg",1304,1694,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-2/","Evening public ledger. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-2/image_1295x1696.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-2/thumbnail.jpg",1295,1696,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-3/","Evening public ledger. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-3/image_1311x1700.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-3/thumbnail.jpg",1311,1700,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-4/","Evening public ledger. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-4/image_1285x1689.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-4/thumbnail.jpg",1285,1689,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-5/","Evening public ledger. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-5/image_1314x1715.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-5/thumbnail.jpg",1314,1715,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-5/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-6/","Evening public ledger. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-6/image_1290x1695.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-6/thumbnail.jpg",1290,1695,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-6/ocr.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-7/","Evening public ledger. April 07, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-7/image_1307x1702.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-7/thumbnail.jpg",1307,1702,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-7/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-8/","Evening public ledger. April 07, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-8/image_1296x1685.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-8/thumbnail.jpg",1296,1685,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-8/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-9/","Evening public ledger. April 07, 1917. Page 9",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-9/image_1296x1726.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-9/thumbnail.jpg",1296,1726,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-9/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-10/","Evening public ledger. April 07, 1917. Page 10",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-10/image_1302x1667.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-10/thumbnail.jpg",1302,1667,"http://chroniclingamerica.loc.gov/lccn/sn83045211/1917-04-07/ed-1/seq-10/ocr.xml"
