order,set_key,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-03/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-03/ed-1/seq-1/","The watchman and southron. August 03, 1918. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/scu_heddalettuce_ver01/data/sn93067846/00294550975/1918080301/0001.jpg","http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-03/ed-1/seq-1/thumbnail.jpg",6686,10560,"http://s3.amazonaws.com/ndnp-batches/scu_heddalettuce_ver01/data/sn93067846/00294550975/1918080301/0001.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-03/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-03/ed-1/seq-2/","The watchman and southron. August 03, 1918. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/scu_heddalettuce_ver01/data/sn93067846/00294550975/1918080301/0002.jpg","http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-03/ed-1/seq-2/thumbnail.jpg",6686,10595,"http://s3.amazonaws.com/ndnp-batches/scu_heddalettuce_ver01/data/sn93067846/00294550975/1918080301/0002.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-03/ed-1/seq-3/","http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-03/ed-1/seq-3/","The watchman and southron. August 03, 1918. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/scu_heddalettuce_ver01/data/sn93067846/00294550975/1918080301/0003.jpg","http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-03/ed-1/seq-3/thumbnail.jpg",6633,10595,"http://s3.amazonaws.com/ndnp-batches/scu_heddalettuce_ver01/data/sn93067846/00294550975/1918080301/0003.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-03/ed-1/seq-4/","http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-03/ed-1/seq-4/","The watchman and southron. August 03, 1918. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/scu_heddalettuce_ver01/data/sn93067846/00294550975/1918080301/0004.jpg","http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-03/ed-1/seq-4/thumbnail.jpg",6597,10719,"http://s3.amazonaws.com/ndnp-batches/scu_heddalettuce_ver01/data/sn93067846/00294550975/1918080301/0004.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-03/ed-1/seq-5/","http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-03/ed-1/seq-5/","The watchman and southron. August 03, 1918. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/scu_heddalettuce_ver01/data/sn93067846/00294550975/1918080301/0005.jpg","http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-03/ed-1/seq-5/thumbnail.jpg",6721,10648,"http://s3.amazonaws.com/ndnp-batches/scu_heddalettuce_ver01/data/sn93067846/00294550975/1918080301/0005.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-03/ed-1/seq-6/","http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-03/ed-1/seq-6/","The watchman and southron. August 03, 1918. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/scu_heddalettuce_ver01/data/sn93067846/00294550975/1918080301/0006.jpg","http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-03/ed-1/seq-6/thumbnail.jpg",6668,10631,"http://s3.amazonaws.com/ndnp-batches/scu_heddalettuce_ver01/data/sn93067846/00294550975/1918080301/0006.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-07/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-07/ed-1/seq-1/","The watchman and southron. August 07, 1918. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/scu_heddalettuce_ver01/data/sn93067846/00294550975/1918080701/0007.jpg","http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-07/ed-1/seq-1/thumbnail.jpg",6580,10472,"http://s3.amazonaws.com/ndnp-batches/scu_heddalettuce_ver01/data/sn93067846/00294550975/1918080701/0007.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-07/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-07/ed-1/seq-2/","The watchman and southron. August 07, 1918. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/scu_heddalettuce_ver01/data/sn93067846/00294550975/1918080701/0008.jpg","http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-07/ed-1/seq-2/thumbnail.jpg",6580,10471,"http://s3.amazonaws.com/ndnp-batches/scu_heddalettuce_ver01/data/sn93067846/00294550975/1918080701/0008.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-07/ed-1/seq-3/","http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-07/ed-1/seq-3/","The watchman and southron. August 07, 1918. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/scu_heddalettuce_ver01/data/sn93067846/00294550975/1918080701/0009.jpg","http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-07/ed-1/seq-3/thumbnail.jpg",6669,10524,"http://s3.amazonaws.com/ndnp-batches/scu_heddalettuce_ver01/data/sn93067846/00294550975/1918080701/0009.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-07/ed-1/seq-4/","http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-07/ed-1/seq-4/","The watchman and southron. August 07, 1918. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/scu_heddalettuce_ver01/data/sn93067846/00294550975/1918080701/0010.jpg","http://chroniclingamerica.loc.gov/lccn/sn93067846/1918-08-07/ed-1/seq-4/thumbnail.jpg",6580,10524,"http://s3.amazonaws.com/ndnp-batches/scu_heddalettuce_ver01/data/sn93067846/00294550975/1918080701/0010.xml"
