order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn96090259/1917-07-06/ed-1/seq-1/","Hot Springs weekly star. July 06, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/sdhi_dagger_ver01/data/sn96090259/00415623239/1917070601/0663.jpg","http://chroniclingamerica.loc.gov/lccn/sn96090259/1917-07-06/ed-1/seq-1/thumbnail.jpg",5331,7364,"http://s3.amazonaws.com/ndnp-batches/sdhi_dagger_ver01/data/sn96090259/00415623239/1917070601/0663.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn96090259/1917-07-06/ed-1/seq-2/","Hot Springs weekly star. July 06, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/sdhi_dagger_ver01/data/sn96090259/00415623239/1917070601/0664.jpg","http://chroniclingamerica.loc.gov/lccn/sn96090259/1917-07-06/ed-1/seq-2/thumbnail.jpg",5243,7410,"http://s3.amazonaws.com/ndnp-batches/sdhi_dagger_ver01/data/sn96090259/00415623239/1917070601/0664.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn96090259/1917-07-06/ed-1/seq-3/","Hot Springs weekly star. July 06, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/sdhi_dagger_ver01/data/sn96090259/00415623239/1917070601/0665.jpg","http://chroniclingamerica.loc.gov/lccn/sn96090259/1917-07-06/ed-1/seq-3/thumbnail.jpg",5382,7380,"http://s3.amazonaws.com/ndnp-batches/sdhi_dagger_ver01/data/sn96090259/00415623239/1917070601/0665.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn96090259/1917-07-06/ed-1/seq-4/","Hot Springs weekly star. July 06, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/sdhi_dagger_ver01/data/sn96090259/00415623239/1917070601/0666.jpg","http://chroniclingamerica.loc.gov/lccn/sn96090259/1917-07-06/ed-1/seq-4/thumbnail.jpg",5230,7418,"http://s3.amazonaws.com/ndnp-batches/sdhi_dagger_ver01/data/sn96090259/00415623239/1917070601/0666.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn96090259/1917-07-06/ed-1/seq-5/","Hot Springs weekly star. July 06, 1917. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/sdhi_dagger_ver01/data/sn96090259/00415623239/1917070601/0667.jpg","http://chroniclingamerica.loc.gov/lccn/sn96090259/1917-07-06/ed-1/seq-5/thumbnail.jpg",5341,7412,"http://s3.amazonaws.com/ndnp-batches/sdhi_dagger_ver01/data/sn96090259/00415623239/1917070601/0667.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn96090259/1917-07-06/ed-1/seq-6/","Hot Springs weekly star. July 06, 1917. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/sdhi_dagger_ver01/data/sn96090259/00415623239/1917070601/0668.jpg","http://chroniclingamerica.loc.gov/lccn/sn96090259/1917-07-06/ed-1/seq-6/thumbnail.jpg",5230,7410,"http://s3.amazonaws.com/ndnp-batches/sdhi_dagger_ver01/data/sn96090259/00415623239/1917070601/0668.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn96090259/1917-07-06/ed-1/seq-7/","Hot Springs weekly star. July 06, 1917. Page 7",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/sdhi_dagger_ver01/data/sn96090259/00415623239/1917070601/0669.jpg","http://chroniclingamerica.loc.gov/lccn/sn96090259/1917-07-06/ed-1/seq-7/thumbnail.jpg",5276,7384,"http://s3.amazonaws.com/ndnp-batches/sdhi_dagger_ver01/data/sn96090259/00415623239/1917070601/0669.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn96090259/1917-07-06/ed-1/seq-8/","Hot Springs weekly star. July 06, 1917. Page 8",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/sdhi_dagger_ver01/data/sn96090259/00415623239/1917070601/0670.jpg","http://chroniclingamerica.loc.gov/lccn/sn96090259/1917-07-06/ed-1/seq-8/thumbnail.jpg",5259,7399,"http://s3.amazonaws.com/ndnp-batches/sdhi_dagger_ver01/data/sn96090259/00415623239/1917070601/0670.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn96090259/1917-07-13/ed-1/seq-1/","Hot Springs weekly star. July 13, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/sdhi_dagger_ver01/data/sn96090259/00415623239/1917071301/0671.jpg","http://chroniclingamerica.loc.gov/lccn/sn96090259/1917-07-13/ed-1/seq-1/thumbnail.jpg",5328,7371,"http://s3.amazonaws.com/ndnp-batches/sdhi_dagger_ver01/data/sn96090259/00415623239/1917071301/0671.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn96090259/1917-07-13/ed-1/seq-2/","Hot Springs weekly star. July 13, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/sdhi_dagger_ver01/data/sn96090259/00415623239/1917071301/0672.jpg","http://chroniclingamerica.loc.gov/lccn/sn96090259/1917-07-13/ed-1/seq-2/thumbnail.jpg",5290,7386,"http://s3.amazonaws.com/ndnp-batches/sdhi_dagger_ver01/data/sn96090259/00415623239/1917071301/0672.xml"
