order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn85042551/1917-04-07/ed-1/seq-1/","Amarillo daily news. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85042551/1917-04-07/ed-1/seq-1/image_1357x1830.jpg","http://chroniclingamerica.loc.gov/lccn/sn85042551/1917-04-07/ed-1/seq-1/thumbnail.jpg",1357,1830,"http://chroniclingamerica.loc.gov/lccn/sn85042551/1917-04-07/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn85042551/1917-04-07/ed-1/seq-2/","Amarillo daily news. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85042551/1917-04-07/ed-1/seq-2/image_1293x1814.jpg","http://chroniclingamerica.loc.gov/lccn/sn85042551/1917-04-07/ed-1/seq-2/thumbnail.jpg",1293,1814,"http://chroniclingamerica.loc.gov/lccn/sn85042551/1917-04-07/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn85042551/1917-04-07/ed-1/seq-3/","Amarillo daily news. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85042551/1917-04-07/ed-1/seq-3/image_1321x1824.jpg","http://chroniclingamerica.loc.gov/lccn/sn85042551/1917-04-07/ed-1/seq-3/thumbnail.jpg",1321,1824,"http://chroniclingamerica.loc.gov/lccn/sn85042551/1917-04-07/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn85042551/1917-04-07/ed-1/seq-4/","Amarillo daily news. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85042551/1917-04-07/ed-1/seq-4/image_1307x1828.jpg","http://chroniclingamerica.loc.gov/lccn/sn85042551/1917-04-07/ed-1/seq-4/thumbnail.jpg",1307,1828,"http://chroniclingamerica.loc.gov/lccn/sn85042551/1917-04-07/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn85042551/1917-04-07/ed-1/seq-5/","Amarillo daily news. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85042551/1917-04-07/ed-1/seq-5/image_1317x1821.jpg","http://chroniclingamerica.loc.gov/lccn/sn85042551/1917-04-07/ed-1/seq-5/thumbnail.jpg",1317,1821,"http://chroniclingamerica.loc.gov/lccn/sn85042551/1917-04-07/ed-1/seq-5/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn85042551/1917-04-07/ed-1/seq-6/","Amarillo daily news. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85042551/1917-04-07/ed-1/seq-6/image_1312x1827.jpg","http://chroniclingamerica.loc.gov/lccn/sn85042551/1917-04-07/ed-1/seq-6/thumbnail.jpg",1312,1827,"http://chroniclingamerica.loc.gov/lccn/sn85042551/1917-04-07/ed-1/seq-6/ocr.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-1/","El Paso herald. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-1/image_1201x1576.jpg","http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-1/thumbnail.jpg",1201,1576,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-1/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-2/","El Paso herald. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-2/image_1212x1587.jpg","http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-2/thumbnail.jpg",1212,1587,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-2/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-3/","El Paso herald. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-3/image_1216x1567.jpg","http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-3/thumbnail.jpg",1216,1567,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-3/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-4/","El Paso herald. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-4/image_1221x1599.jpg","http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-4/thumbnail.jpg",1221,1599,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-4/ocr.xml"
11,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-5/","El Paso herald. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-5/image_1216x1588.jpg","http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-5/thumbnail.jpg",1216,1588,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-5/ocr.xml"
12,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-6/","El Paso herald. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-6/image_1216x1586.jpg","http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-6/thumbnail.jpg",1216,1586,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-6/ocr.xml"
13,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-7/","El Paso herald. April 07, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-7/image_1225x1596.jpg","http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-7/thumbnail.jpg",1225,1596,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-7/ocr.xml"
14,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-8/","El Paso herald. April 07, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-8/image_1220x1595.jpg","http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-8/thumbnail.jpg",1220,1595,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-8/ocr.xml"
15,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-9/","El Paso herald. April 07, 1917. Page 9",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-9/image_1223x1581.jpg","http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-9/thumbnail.jpg",1223,1581,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-9/ocr.xml"
16,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-10/","El Paso herald. April 07, 1917. Page 10",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-10/image_1215x1592.jpg","http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-10/thumbnail.jpg",1215,1592,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-10/ocr.xml"
17,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-11/","El Paso herald. April 07, 1917. Page 11",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-11/image_1221x1580.jpg","http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-11/thumbnail.jpg",1221,1580,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-11/ocr.xml"
18,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-12/","El Paso herald. April 07, 1917. Page 12",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-12/image_1216x1586.jpg","http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-12/thumbnail.jpg",1216,1586,"http://chroniclingamerica.loc.gov/lccn/sn88084272/1917-04-07/ed-1/seq-12/ocr.xml"
