order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-1/","The Barre daily times. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-1/image_1317x1790.jpg","http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-1/thumbnail.jpg",1317,1790,"http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-2/","The Barre daily times. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-2/image_1316x1792.jpg","http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-2/thumbnail.jpg",1316,1792,"http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-3/","The Barre daily times. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-3/image_1322x1790.jpg","http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-3/thumbnail.jpg",1322,1790,"http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-4/","The Barre daily times. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-4/image_1323x1790.jpg","http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-4/thumbnail.jpg",1323,1790,"http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-5/","The Barre daily times. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-5/image_1318x1790.jpg","http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-5/thumbnail.jpg",1318,1790,"http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-5/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-6/","The Barre daily times. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-6/image_1316x1791.jpg","http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-6/thumbnail.jpg",1316,1791,"http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-6/ocr.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-7/","The Barre daily times. April 07, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-7/image_1321x1789.jpg","http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-7/thumbnail.jpg",1321,1789,"http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-7/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-8/","The Barre daily times. April 07, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-8/image_1320x1788.jpg","http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-8/thumbnail.jpg",1320,1788,"http://chroniclingamerica.loc.gov/lccn/sn91066782/1917-04-07/ed-1/seq-8/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn95066012/1917-04-07/ed-1/seq-1/","The Bennington evening banner. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn95066012/1917-04-07/ed-1/seq-1/image_1387x1777.jpg","http://chroniclingamerica.loc.gov/lccn/sn95066012/1917-04-07/ed-1/seq-1/thumbnail.jpg",1387,1777,"http://chroniclingamerica.loc.gov/lccn/sn95066012/1917-04-07/ed-1/seq-1/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn95066012/1917-04-07/ed-1/seq-2/","The Bennington evening banner. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn95066012/1917-04-07/ed-1/seq-2/image_1386x1776.jpg","http://chroniclingamerica.loc.gov/lccn/sn95066012/1917-04-07/ed-1/seq-2/thumbnail.jpg",1386,1776,"http://chroniclingamerica.loc.gov/lccn/sn95066012/1917-04-07/ed-1/seq-2/ocr.xml"
11,"http://chroniclingamerica.loc.gov/lccn/sn95066012/1917-04-07/ed-1/seq-3/","The Bennington evening banner. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn95066012/1917-04-07/ed-1/seq-3/image_1385x1775.jpg","http://chroniclingamerica.loc.gov/lccn/sn95066012/1917-04-07/ed-1/seq-3/thumbnail.jpg",1385,1775,"http://chroniclingamerica.loc.gov/lccn/sn95066012/1917-04-07/ed-1/seq-3/ocr.xml"
12,"http://chroniclingamerica.loc.gov/lccn/sn95066012/1917-04-07/ed-1/seq-4/","The Bennington evening banner. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn95066012/1917-04-07/ed-1/seq-4/image_1376x1774.jpg","http://chroniclingamerica.loc.gov/lccn/sn95066012/1917-04-07/ed-1/seq-4/thumbnail.jpg",1376,1774,"http://chroniclingamerica.loc.gov/lccn/sn95066012/1917-04-07/ed-1/seq-4/ocr.xml"
13,"http://chroniclingamerica.loc.gov/lccn/sn95066012/1917-04-07/ed-1/seq-5/","The Bennington evening banner. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn95066012/1917-04-07/ed-1/seq-5/image_1383x1771.jpg","http://chroniclingamerica.loc.gov/lccn/sn95066012/1917-04-07/ed-1/seq-5/thumbnail.jpg",1383,1771,"http://chroniclingamerica.loc.gov/lccn/sn95066012/1917-04-07/ed-1/seq-5/ocr.xml"
14,"http://chroniclingamerica.loc.gov/lccn/sn95066012/1917-04-07/ed-1/seq-6/","The Bennington evening banner. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn95066012/1917-04-07/ed-1/seq-6/image_1370x1767.jpg","http://chroniclingamerica.loc.gov/lccn/sn95066012/1917-04-07/ed-1/seq-6/thumbnail.jpg",1370,1767,"http://chroniclingamerica.loc.gov/lccn/sn95066012/1917-04-07/ed-1/seq-6/ocr.xml"
