order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-1/","Alexandria gazette. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-1/image_1643x2202.jpg","http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-1/thumbnail.jpg",1643,2202,"http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-2/","Alexandria gazette. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-2/image_1649x2213.jpg","http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-2/thumbnail.jpg",1649,2213,"http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-3/","Alexandria gazette. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-3/image_1641x2211.jpg","http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-3/thumbnail.jpg",1641,2211,"http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-4/","Alexandria gazette. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-4/image_1638x2207.jpg","http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-4/thumbnail.jpg",1638,2207,"http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-1/","Richmond times-dispatch. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-1/image_1659x2216.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-1/thumbnail.jpg",1659,2216,"http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-1/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-2/","Richmond times-dispatch. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-2/image_1645x2199.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-2/thumbnail.jpg",1645,2199,"http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-2/ocr.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-3/","Richmond times-dispatch. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-3/image_1659x2210.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-3/thumbnail.jpg",1659,2210,"http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-3/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-4/","Richmond times-dispatch. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-4/image_1642x2186.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-4/thumbnail.jpg",1642,2186,"http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-4/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-5/","Richmond times-dispatch. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-5/image_1652x2206.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-5/thumbnail.jpg",1652,2206,"http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-5/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-6/","Richmond times-dispatch. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-6/image_1656x2193.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-6/thumbnail.jpg",1656,2193,"http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-6/ocr.xml"
11,"http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-7/","Richmond times-dispatch. April 07, 1917. Page 7",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-7/image_1625x2173.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-7/thumbnail.jpg",1625,2173,"http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-7/ocr.xml"
12,"http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-8/","Richmond times-dispatch. April 07, 1917. Page 8",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-8/image_1642x2179.jpg","http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-8/thumbnail.jpg",1642,2179,"http://chroniclingamerica.loc.gov/lccn/sn83045389/1917-04-07/ed-1/seq-8/ocr.xml"
