order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn88085318/1917-04-07/ed-1/seq-1/","The Colville examiner. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88085318/1917-04-07/ed-1/seq-1/image_1209x1693.jpg","http://chroniclingamerica.loc.gov/lccn/sn88085318/1917-04-07/ed-1/seq-1/thumbnail.jpg",1209,1693,"http://chroniclingamerica.loc.gov/lccn/sn88085318/1917-04-07/ed-1/seq-1/ocr.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn88085318/1917-04-07/ed-1/seq-2/","The Colville examiner. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88085318/1917-04-07/ed-1/seq-2/image_1209x1693.jpg","http://chroniclingamerica.loc.gov/lccn/sn88085318/1917-04-07/ed-1/seq-2/thumbnail.jpg",1209,1693,"http://chroniclingamerica.loc.gov/lccn/sn88085318/1917-04-07/ed-1/seq-2/ocr.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn88085318/1917-04-07/ed-1/seq-3/","The Colville examiner. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88085318/1917-04-07/ed-1/seq-3/image_1209x1693.jpg","http://chroniclingamerica.loc.gov/lccn/sn88085318/1917-04-07/ed-1/seq-3/thumbnail.jpg",1209,1693,"http://chroniclingamerica.loc.gov/lccn/sn88085318/1917-04-07/ed-1/seq-3/ocr.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn88085318/1917-04-07/ed-1/seq-4/","The Colville examiner. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88085318/1917-04-07/ed-1/seq-4/image_1209x1693.jpg","http://chroniclingamerica.loc.gov/lccn/sn88085318/1917-04-07/ed-1/seq-4/thumbnail.jpg",1209,1693,"http://chroniclingamerica.loc.gov/lccn/sn88085318/1917-04-07/ed-1/seq-4/ocr.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn88085318/1917-04-07/ed-1/seq-5/","The Colville examiner. April 07, 1917. Page 5",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88085318/1917-04-07/ed-1/seq-5/image_1209x1693.jpg","http://chroniclingamerica.loc.gov/lccn/sn88085318/1917-04-07/ed-1/seq-5/thumbnail.jpg",1209,1693,"http://chroniclingamerica.loc.gov/lccn/sn88085318/1917-04-07/ed-1/seq-5/ocr.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn88085318/1917-04-07/ed-1/seq-6/","The Colville examiner. April 07, 1917. Page 6",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn88085318/1917-04-07/ed-1/seq-6/image_1209x1693.jpg","http://chroniclingamerica.loc.gov/lccn/sn88085318/1917-04-07/ed-1/seq-6/thumbnail.jpg",1209,1693,"http://chroniclingamerica.loc.gov/lccn/sn88085318/1917-04-07/ed-1/seq-6/ocr.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn87093407/1917-04-07/ed-1/seq-1/","The Seattle star. April 07, 1917. Page 1",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87093407/1917-04-07/ed-1/seq-1/image_1320x1760.jpg","http://chroniclingamerica.loc.gov/lccn/sn87093407/1917-04-07/ed-1/seq-1/thumbnail.jpg",1320,1760,"http://chroniclingamerica.loc.gov/lccn/sn87093407/1917-04-07/ed-1/seq-1/ocr.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn87093407/1917-04-07/ed-1/seq-2/","The Seattle star. April 07, 1917. Page 2",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87093407/1917-04-07/ed-1/seq-2/image_1320x1760.jpg","http://chroniclingamerica.loc.gov/lccn/sn87093407/1917-04-07/ed-1/seq-2/thumbnail.jpg",1320,1760,"http://chroniclingamerica.loc.gov/lccn/sn87093407/1917-04-07/ed-1/seq-2/ocr.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn87093407/1917-04-07/ed-1/seq-3/","The Seattle star. April 07, 1917. Page 3",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87093407/1917-04-07/ed-1/seq-3/image_1320x1760.jpg","http://chroniclingamerica.loc.gov/lccn/sn87093407/1917-04-07/ed-1/seq-3/thumbnail.jpg",1320,1760,"http://chroniclingamerica.loc.gov/lccn/sn87093407/1917-04-07/ed-1/seq-3/ocr.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn87093407/1917-04-07/ed-1/seq-4/","The Seattle star. April 07, 1917. Page 4",0.250000,"http://chroniclingamerica.loc.gov/lccn/sn87093407/1917-04-07/ed-1/seq-4/image_1320x1760.jpg","http://chroniclingamerica.loc.gov/lccn/sn87093407/1917-04-07/ed-1/seq-4/thumbnail.jpg",1320,1760,"http://chroniclingamerica.loc.gov/lccn/sn87093407/1917-04-07/ed-1/seq-4/ocr.xml"
