order,set_key,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-07/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-07/ed-1/seq-1/","Pioneer press. April 07, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/wvu_gorn_ver01/data/sn83025146/00271768217/1917040701/1211.jpg","http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-07/ed-1/seq-1/thumbnail.jpg",6372,9426,"http://s3.amazonaws.com/ndnp-batches/wvu_gorn_ver01/data/sn83025146/00271768217/1917040701/1211.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-07/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-07/ed-1/seq-2/","Pioneer press. April 07, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/wvu_gorn_ver01/data/sn83025146/00271768217/1917040701/1212.jpg","http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-07/ed-1/seq-2/thumbnail.jpg",6309,9236,"http://s3.amazonaws.com/ndnp-batches/wvu_gorn_ver01/data/sn83025146/00271768217/1917040701/1212.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-07/ed-1/seq-3/","http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-07/ed-1/seq-3/","Pioneer press. April 07, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/wvu_gorn_ver01/data/sn83025146/00271768217/1917040701/1213.jpg","http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-07/ed-1/seq-3/thumbnail.jpg",6266,9384,"http://s3.amazonaws.com/ndnp-batches/wvu_gorn_ver01/data/sn83025146/00271768217/1917040701/1213.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-07/ed-1/seq-4/","http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-07/ed-1/seq-4/","Pioneer press. April 07, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/wvu_gorn_ver01/data/sn83025146/00271768217/1917040701/1214.jpg","http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-07/ed-1/seq-4/thumbnail.jpg",6320,9193,"http://s3.amazonaws.com/ndnp-batches/wvu_gorn_ver01/data/sn83025146/00271768217/1917040701/1214.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-14/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-14/ed-1/seq-1/","Pioneer press. April 14, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/wvu_gorn_ver01/data/sn83025146/00271768217/1917041401/1215.jpg","http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-14/ed-1/seq-1/thumbnail.jpg",6288,9458,"http://s3.amazonaws.com/ndnp-batches/wvu_gorn_ver01/data/sn83025146/00271768217/1917041401/1215.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-14/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-14/ed-1/seq-2/","Pioneer press. April 14, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/wvu_gorn_ver01/data/sn83025146/00271768217/1917041401/1216.jpg","http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-14/ed-1/seq-2/thumbnail.jpg",6214,9300,"http://s3.amazonaws.com/ndnp-batches/wvu_gorn_ver01/data/sn83025146/00271768217/1917041401/1216.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-14/ed-1/seq-3/","http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-14/ed-1/seq-3/","Pioneer press. April 14, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/wvu_gorn_ver01/data/sn83025146/00271768217/1917041401/1217.jpg","http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-14/ed-1/seq-3/thumbnail.jpg",6288,9331,"http://s3.amazonaws.com/ndnp-batches/wvu_gorn_ver01/data/sn83025146/00271768217/1917041401/1217.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-14/ed-1/seq-4/","http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-14/ed-1/seq-4/","Pioneer press. April 14, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/wvu_gorn_ver01/data/sn83025146/00271768217/1917041401/1218.jpg","http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-14/ed-1/seq-4/thumbnail.jpg",6277,9225,"http://s3.amazonaws.com/ndnp-batches/wvu_gorn_ver01/data/sn83025146/00271768217/1917041401/1218.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-21/ed-1/seq-1/","http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-21/ed-1/seq-1/","Pioneer press. April 21, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/wvu_gorn_ver01/data/sn83025146/00271768217/1917042101/1219.jpg","http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-21/ed-1/seq-1/thumbnail.jpg",6393,9363,"http://s3.amazonaws.com/ndnp-batches/wvu_gorn_ver01/data/sn83025146/00271768217/1917042101/1219.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-21/ed-1/seq-2/","http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-21/ed-1/seq-2/","Pioneer press. April 21, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/wvu_gorn_ver01/data/sn83025146/00271768217/1917042101/1220.jpg","http://chroniclingamerica.loc.gov/lccn/sn83025146/1917-04-21/ed-1/seq-2/thumbnail.jpg",6256,9278,"http://s3.amazonaws.com/ndnp-batches/wvu_gorn_ver01/data/sn83025146/00271768217/1917042101/1220.xml"
