order,subject_url,subject_description,resize,file_path,thumbnail,width,height,alto
1,"http://chroniclingamerica.loc.gov/lccn/sn85033078/1917-04-12/ed-1/seq-1/","Wood County reporter. April 12, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/whi_carrie_ver01/data/sn85033078/00271768771/1917041201/0529.jpg","http://chroniclingamerica.loc.gov/lccn/sn85033078/1917-04-12/ed-1/seq-1/thumbnail.jpg",7603,10013,"http://s3.amazonaws.com/ndnp-batches/whi_carrie_ver01/data/sn85033078/00271768771/1917041201/0529.xml"
2,"http://chroniclingamerica.loc.gov/lccn/sn85033078/1917-04-12/ed-1/seq-2/","Wood County reporter. April 12, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/whi_carrie_ver01/data/sn85033078/00271768771/1917041201/0530.jpg","http://chroniclingamerica.loc.gov/lccn/sn85033078/1917-04-12/ed-1/seq-2/thumbnail.jpg",7603,10013,"http://s3.amazonaws.com/ndnp-batches/whi_carrie_ver01/data/sn85033078/00271768771/1917041201/0530.xml"
3,"http://chroniclingamerica.loc.gov/lccn/sn85033078/1917-04-12/ed-1/seq-3/","Wood County reporter. April 12, 1917. Page 3",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/whi_carrie_ver01/data/sn85033078/00271768771/1917041201/0531.jpg","http://chroniclingamerica.loc.gov/lccn/sn85033078/1917-04-12/ed-1/seq-3/thumbnail.jpg",7603,10013,"http://s3.amazonaws.com/ndnp-batches/whi_carrie_ver01/data/sn85033078/00271768771/1917041201/0531.xml"
4,"http://chroniclingamerica.loc.gov/lccn/sn85033078/1917-04-12/ed-1/seq-4/","Wood County reporter. April 12, 1917. Page 4",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/whi_carrie_ver01/data/sn85033078/00271768771/1917041201/0532.jpg","http://chroniclingamerica.loc.gov/lccn/sn85033078/1917-04-12/ed-1/seq-4/thumbnail.jpg",7603,10013,"http://s3.amazonaws.com/ndnp-batches/whi_carrie_ver01/data/sn85033078/00271768771/1917041201/0532.xml"
5,"http://chroniclingamerica.loc.gov/lccn/sn85033078/1917-04-12/ed-1/seq-5/","Wood County reporter. April 12, 1917. Page 5",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/whi_carrie_ver01/data/sn85033078/00271768771/1917041201/0533.jpg","http://chroniclingamerica.loc.gov/lccn/sn85033078/1917-04-12/ed-1/seq-5/thumbnail.jpg",7603,10013,"http://s3.amazonaws.com/ndnp-batches/whi_carrie_ver01/data/sn85033078/00271768771/1917041201/0533.xml"
6,"http://chroniclingamerica.loc.gov/lccn/sn85033078/1917-04-12/ed-1/seq-6/","Wood County reporter. April 12, 1917. Page 6",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/whi_carrie_ver01/data/sn85033078/00271768771/1917041201/0534.jpg","http://chroniclingamerica.loc.gov/lccn/sn85033078/1917-04-12/ed-1/seq-6/thumbnail.jpg",7603,10013,"http://s3.amazonaws.com/ndnp-batches/whi_carrie_ver01/data/sn85033078/00271768771/1917041201/0534.xml"
7,"http://chroniclingamerica.loc.gov/lccn/sn85033078/1917-04-12/ed-1/seq-7/","Wood County reporter. April 12, 1917. Page 7",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/whi_carrie_ver01/data/sn85033078/00271768771/1917041201/0535.jpg","http://chroniclingamerica.loc.gov/lccn/sn85033078/1917-04-12/ed-1/seq-7/thumbnail.jpg",7603,10013,"http://s3.amazonaws.com/ndnp-batches/whi_carrie_ver01/data/sn85033078/00271768771/1917041201/0535.xml"
8,"http://chroniclingamerica.loc.gov/lccn/sn85033078/1917-04-12/ed-1/seq-8/","Wood County reporter. April 12, 1917. Page 8",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/whi_carrie_ver01/data/sn85033078/00271768771/1917041201/0536.jpg","http://chroniclingamerica.loc.gov/lccn/sn85033078/1917-04-12/ed-1/seq-8/thumbnail.jpg",7603,10013,"http://s3.amazonaws.com/ndnp-batches/whi_carrie_ver01/data/sn85033078/00271768771/1917041201/0536.xml"
9,"http://chroniclingamerica.loc.gov/lccn/sn85033078/1917-04-19/ed-1/seq-1/","Wood County reporter. April 19, 1917. Page 1",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/whi_carrie_ver01/data/sn85033078/00271768771/1917041901/0537.jpg","http://chroniclingamerica.loc.gov/lccn/sn85033078/1917-04-19/ed-1/seq-1/thumbnail.jpg",7597,9939,"http://s3.amazonaws.com/ndnp-batches/whi_carrie_ver01/data/sn85033078/00271768771/1917041901/0537.xml"
10,"http://chroniclingamerica.loc.gov/lccn/sn85033078/1917-04-19/ed-1/seq-2/","Wood County reporter. April 19, 1917. Page 2",1.000000,"http://s3.amazonaws.com/ndnp-jpeg-surrogates/whi_carrie_ver01/data/sn85033078/00271768771/1917041901/0538.jpg","http://chroniclingamerica.loc.gov/lccn/sn85033078/1917-04-19/ed-1/seq-2/thumbnail.jpg",7597,9939,"http://s3.amazonaws.com/ndnp-batches/whi_carrie_ver01/data/sn85033078/00271768771/1917041901/0538.xml"
