key,name,description,cover_image_url,external_url
arizona_1917-04-07_1917-04-07,"Arizona","Historic Newspapers from Arizona","http://chroniclingamerica.loc.gov/lccn/sn84020558/1917-04-07/ed-1/seq-1/image_512x512_from_0,0_to_5000,1000.jpg","http://chroniclingamerica.loc.gov/search/pages/results/?state=Arizona"
connecticut_1917-04-07_1917-04-07,"Connecticut","Historic Newspapers from Connecticut","http://chroniclingamerica.loc.gov/lccn/sn84022472/1917-04-07/ed-1/seq-1/image_512x512_from_0,0_to_5000,1000.jpg","http://chroniclingamerica.loc.gov/search/pages/results/?state=Connecticut"
district-of-columbia_1917-04-07_1917-04-07,"District of Columbia","Historic Newspapers from District of Columbia","http://chroniclingamerica.loc.gov/lccn/sn85025007/1917-04-07/ed-1/seq-1/image_512x512_from_0,0_to_5000,1000.jpg","http://chroniclingamerica.loc.gov/search/pages/results/?state=District+of+Columbia"
hawaii_1917-04-07_1917-04-07,"Hawaii","Historic Newspapers from Hawaii","http://chroniclingamerica.loc.gov/lccn/sn82014682/1917-04-07/ed-1/seq-1/image_512x512_from_0,0_to_5000,1000.jpg","http://chroniclingamerica.loc.gov/search/pages/results/?state=Hawaii"
idaho_1917-04-07_1917-04-07,"Idaho","Historic Newspapers from Idaho","http://chroniclingamerica.loc.gov/lccn/sn88056024/1917-04-07/ed-1/seq-1/image_512x512_from_0,0_to_5000,1000.jpg","http://chroniclingamerica.loc.gov/search/pages/results/?state=Idaho"
illinois_1917-04-07_1917-04-07,"Illinois","Historic Newspapers from Illinois","http://chroniclingamerica.loc.gov/lccn/sn83016810/1917-04-07/ed-1/seq-1/image_512x512_from_0,0_to_5000,1000.jpg","http://chroniclingamerica.loc.gov/search/pages/results/?state=Illinois"
indiana_1917-04-07_1917-04-07,"Indiana","Historic Newspapers from Indiana","http://chroniclingamerica.loc.gov/lccn/sn86058242/1917-04-07/ed-1/seq-1/image_512x512_from_0,0_to_5000,1000.jpg","http://chroniclingamerica.loc.gov/search/pages/results/?state=Indiana"
iowa_1917-04-07_1917-04-07,"Iowa","Historic Newspapers from Iowa","http://chroniclingamerica.loc.gov/lccn/sn87057262/1917-04-07/ed-1/seq-1/image_512x512_from_0,0_to_5000,1000.jpg","http://chroniclingamerica.loc.gov/search/pages/results/?state=Iowa"
kansas_1917-04-07_1917-04-07,"Kansas","Historic Newspapers from Kansas","http://chroniclingamerica.loc.gov/lccn/sn84029690/1917-04-07/ed-1/seq-1/image_512x512_from_0,0_to_5000,1000.jpg","http://chroniclingamerica.loc.gov/search/pages/results/?state=Kansas"
kentucky_1917-04-07_1917-04-07,"Kentucky","Historic Newspapers from Kentucky","http://chroniclingamerica.loc.gov/lccn/sn86069395/1917-04-07/ed-1/seq-1/image_512x512_from_0,0_to_5000,1000.jpg","http://chroniclingamerica.loc.gov/search/pages/results/?state=Kentucky"
